start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1,1,Rail,IB_HBW,Weekday,PM_peak,1.0
1,3,Rail,IB_HBW,Weekday,AM_peak,1.0
1,3,Rail,IB_HBW,Weekday,PM_peak,1.0
1,5,Rail,IB_HBW,Weekday,PM_peak,1.0
1,7,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1003,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1009,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1011,Rail,IB_HBW,Weekday,PM_peak,3.0
1,1011,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1013,Rail,IB_HBW,Weekday,Off_peak,1.0
1,1013,Rail,IB_HBW,Weekday,PM_peak,3.0
1,1013,Rail,IB_HBW,Weekday,PM_peak_hr,2.0
1,1014,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1015,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1016,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1017,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1017,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1019,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1020,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1021,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1022,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1023,Rail,IB_HBW,Weekday,AM_peak_hr,1.0
1,1023,Rail,IB_HBW,Weekday,Inter_peak,1.0
1,1023,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1023,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1025,Rail,IB_HBW,Weekday,PM_peak,4.0
1,1025,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1026,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1027,Rail,IB_HBW,Weekday,Inter_peak,1.0
1,1027,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1027,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1028,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1028,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1029,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1029,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1030,Rail,IB_HBW,Weekday,Inter_peak,2.0
1,1030,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1031,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1031,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1032,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1032,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1033,Rail,IB_HBW,Weekday,Inter_peak,2.0
1,1033,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1033,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1034,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1034,Rail,IB_HBW,Weekday,PM_peak_hr,2.0
1,1036,Rail,IB_HBW,Weekday,Inter_peak,1.0
1,1036,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1036,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1038,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1041,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1041,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1045,Rail,IB_HBW,Weekday,Inter_peak,1.0
1,1053,Rail,IB_HBW,Weekday,Off_peak,1.0
1,1053,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1053,Rail,IB_HBW,Weekday,PM_peak_hr,2.0
1,1057,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1059,Rail,IB_HBW,Weekday,Off_peak,1.0
1,1059,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1060,Rail,IB_HBW,Weekday,Off_peak,1.0
1,1060,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1062,Rail,IB_HBW,Weekday,Off_peak,1.0
1,1063,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1065,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1067,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1067,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1074,Rail,IB_HBW,Weekday,PM_peak,2.0
1,1074,Rail,IB_HBW,Weekday,PM_peak_hr,1.0
1,1077,Rail,IB_HBW,Weekday,Inter_peak,1.0
1,1077,Rail,IB_HBW,Weekday,PM_peak,1.0
1,1082,Rail,IB_HBW,Weekday,Inter_peak,2.0
