start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1,1,Road,IB_HBW,Weekday,AM_peak,4.0
1,1,Road,IB_HBW,Weekday,AM_peak_hr,1.0
1,1,Road,IB_HBW,Weekday,Inter_peak,38.0
1,1,Road,IB_HBW,Weekday,Off_peak,22.0
1,1,Road,IB_HBW,Weekday,PM_peak,124.0
1,1,Road,IB_HBW,Weekday,PM_peak_hr,52.0
1,2,Road,IB_HBW,Weekday,Inter_peak,1.0
1,3,Road,IB_HBW,Weekday,AM_peak,1.0
1,3,Road,IB_HBW,Weekday,AM_peak_hr,1.0
1,3,Road,IB_HBW,Weekday,Inter_peak,2.0
1,3,Road,IB_HBW,Weekday,PM_peak,2.0
1,4,Road,IB_HBW,Weekday,Inter_peak,9.0
1,4,Road,IB_HBW,Weekday,Off_peak,1.0
1,4,Road,IB_HBW,Weekday,PM_peak,12.0
1,4,Road,IB_HBW,Weekday,PM_peak_hr,4.0
1,5,Road,IB_HBW,Weekday,Inter_peak,10.0
1,5,Road,IB_HBW,Weekday,Off_peak,3.0
1,5,Road,IB_HBW,Weekday,PM_peak,29.0
1,5,Road,IB_HBW,Weekday,PM_peak_hr,11.0
1,7,Road,IB_HBW,Weekday,AM_peak,1.0
1,7,Road,IB_HBW,Weekday,Inter_peak,31.0
1,7,Road,IB_HBW,Weekday,Off_peak,23.0
1,7,Road,IB_HBW,Weekday,PM_peak,151.0
1,7,Road,IB_HBW,Weekday,PM_peak_hr,64.0
1,8,Road,IB_HBW,Weekday,AM_peak,1.0
1,8,Road,IB_HBW,Weekday,Inter_peak,15.0
1,8,Road,IB_HBW,Weekday,Off_peak,6.0
1,8,Road,IB_HBW,Weekday,PM_peak,69.0
1,8,Road,IB_HBW,Weekday,PM_peak_hr,26.0
1,9,Road,IB_HBW,Weekday,AM_peak,2.0
1,9,Road,IB_HBW,Weekday,AM_peak_hr,1.0
1,9,Road,IB_HBW,Weekday,Inter_peak,34.0
1,9,Road,IB_HBW,Weekday,Off_peak,18.0
1,9,Road,IB_HBW,Weekday,PM_peak,95.0
1,9,Road,IB_HBW,Weekday,PM_peak_hr,39.0
1,1001,Road,IB_HBW,Weekday,Inter_peak,1.0
1,1001,Road,IB_HBW,Weekday,Off_peak,1.0
1,1001,Road,IB_HBW,Weekday,PM_peak,7.0
1,1001,Road,IB_HBW,Weekday,PM_peak_hr,3.0
1,1002,Road,IB_HBW,Weekday,Inter_peak,2.0
1,1002,Road,IB_HBW,Weekday,Off_peak,3.0
1,1002,Road,IB_HBW,Weekday,PM_peak,15.0
1,1002,Road,IB_HBW,Weekday,PM_peak_hr,6.0
