start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1,1,Rail,NHBO,Weekday,Inter_peak,1.0
1,1,Rail,NHBO,Weekday,PM_peak,1.0
1,1,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,2,Rail,NHBO,Weekday,AM_peak,1.0
1,2,Rail,NHBO,Weekday,PM_peak,1.0
1,3,Rail,NHBO,Weekday,Inter_peak,1.0
1,3,Rail,NHBO,Weekday,Off_peak,1.0
1,4,Rail,NHBO,Weekday,Inter_peak,1.0
1,4,Rail,NHBO,Weekday,Off_peak,1.0
1,4,Rail,NHBO,Weekday,PM_peak,1.0
1,5,Rail,NHBO,Weekday,Inter_peak,1.0
1,5,Rail,NHBO,Weekday,PM_peak,1.0
1,7,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,7,Rail,NHBO,Weekday,Inter_peak,1.0
1,7,Rail,NHBO,Weekday,Off_peak,1.0
1,7,Rail,NHBO,Weekday,PM_peak,1.0
1,8,Rail,NHBO,Weekday,Inter_peak,2.0
1,9,Rail,NHBO,Weekday,Inter_peak,1.0
1,1005,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1005,Rail,NHBO,Weekday,Inter_peak,1.0
1,1005,Rail,NHBO,Weekday,PM_peak,1.0
1,1010,Rail,NHBO,Weekday,Off_peak,1.0
1,1010,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1011,Rail,NHBO,Weekday,Inter_peak,1.0
1,1011,Rail,NHBO,Weekday,Off_peak,1.0
1,1012,Rail,NHBO,Weekday,PM_peak,1.0
1,1013,Rail,NHBO,Weekday,AM_peak,1.0
1,1014,Rail,NHBO,Weekday,PM_peak,1.0
1,1015,Rail,NHBO,Weekday,AM_peak,1.0
1,1015,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1015,Rail,NHBO,Weekday,Inter_peak,2.0
1,1015,Rail,NHBO,Weekday,PM_peak,1.0
1,1016,Rail,NHBO,Weekday,Inter_peak,1.0
1,1016,Rail,NHBO,Weekday,PM_peak,1.0
1,1019,Rail,NHBO,Weekday,Inter_peak,1.0
1,1019,Rail,NHBO,Weekday,Off_peak,1.0
1,1020,Rail,NHBO,Weekday,Inter_peak,1.0
1,1021,Rail,NHBO,Weekday,Off_peak,1.0
1,1023,Rail,NHBO,Weekday,Inter_peak,1.0
1,1025,Rail,NHBO,Weekday,Off_peak,1.0
1,1027,Rail,NHBO,Weekday,AM_peak,1.0
1,1027,Rail,NHBO,Weekday,PM_peak,1.0
1,1028,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1028,Rail,NHBO,Weekday,Inter_peak,1.0
1,1028,Rail,NHBO,Weekday,Off_peak,1.0
1,1028,Rail,NHBO,Weekday,PM_peak,1.0
1,1030,Rail,NHBO,Weekday,AM_peak,1.0
1,1030,Rail,NHBO,Weekday,Inter_peak,1.0
1,1031,Rail,NHBO,Weekday,AM_peak,1.0
1,1031,Rail,NHBO,Weekday,Inter_peak,1.0
1,1033,Rail,NHBO,Weekday,AM_peak,1.0
1,1033,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1033,Rail,NHBO,Weekday,Inter_peak,1.0
1,1033,Rail,NHBO,Weekday,PM_peak,1.0
1,1034,Rail,NHBO,Weekday,Inter_peak,1.0
1,1035,Rail,NHBO,Weekday,AM_peak,1.0
1,1037,Rail,NHBO,Weekday,PM_peak,1.0
1,1037,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1040,Rail,NHBO,Weekday,AM_peak,1.0
1,1040,Rail,NHBO,Weekday,Inter_peak,1.0
1,1041,Rail,NHBO,Weekday,Inter_peak,1.0
1,1042,Rail,NHBO,Weekday,Inter_peak,1.0
1,1042,Rail,NHBO,Weekday,PM_peak,1.0
1,1043,Rail,NHBO,Weekday,Inter_peak,1.0
1,1046,Rail,NHBO,Weekday,Inter_peak,1.0
1,1050,Rail,NHBO,Weekday,Inter_peak,1.0
1,1056,Rail,NHBO,Weekday,Inter_peak,1.0
1,1057,Rail,NHBO,Weekday,AM_peak,1.0
1,1059,Rail,NHBO,Weekday,Inter_peak,1.0
1,1062,Rail,NHBO,Weekday,Off_peak,1.0
1,1062,Rail,NHBO,Weekday,PM_peak,1.0
1,1064,Rail,NHBO,Weekday,Off_peak,1.0
1,1065,Rail,NHBO,Weekday,Inter_peak,1.0
1,1065,Rail,NHBO,Weekday,Off_peak,1.0
1,1066,Rail,NHBO,Weekday,Inter_peak,1.0
1,1067,Rail,NHBO,Weekday,Inter_peak,1.0
1,1068,Rail,NHBO,Weekday,Inter_peak,1.0
1,1068,Rail,NHBO,Weekday,Off_peak,1.0
1,1070,Rail,NHBO,Weekday,Inter_peak,2.0
1,1072,Rail,NHBO,Weekday,Inter_peak,1.0
1,1073,Rail,NHBO,Weekday,Inter_peak,1.0
1,1074,Rail,NHBO,Weekday,Inter_peak,1.0
1,1077,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1078,Rail,NHBO,Weekday,Inter_peak,1.0
1,1081,Rail,NHBO,Weekday,AM_peak,1.0
1,1081,Rail,NHBO,Weekday,Inter_peak,1.0
1,1082,Rail,NHBO,Weekday,AM_peak,1.0
1,1082,Rail,NHBO,Weekday,Inter_peak,2.0
1,1082,Rail,NHBO,Weekday,Off_peak,1.0
1,1082,Rail,NHBO,Weekday,PM_peak,1.0
1,1083,Rail,NHBO,Weekday,AM_peak,1.0
1,1083,Rail,NHBO,Weekday,Off_peak,1.0
1,1083,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1084,Rail,NHBO,Weekday,AM_peak,2.0
1,1084,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1084,Rail,NHBO,Weekday,Inter_peak,2.0
1,1084,Rail,NHBO,Weekday,Off_peak,1.0
1,1084,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1085,Rail,NHBO,Weekday,Inter_peak,1.0
1,1087,Rail,NHBO,Weekday,AM_peak,1.0
1,1087,Rail,NHBO,Weekday,Inter_peak,1.0
1,1087,Rail,NHBO,Weekday,Off_peak,1.0
1,1088,Rail,NHBO,Weekday,AM_peak,11.0
1,1088,Rail,NHBO,Weekday,AM_peak_hr,3.0
1,1088,Rail,NHBO,Weekday,Inter_peak,27.0
1,1088,Rail,NHBO,Weekday,Off_peak,4.0
1,1088,Rail,NHBO,Weekday,PM_peak,7.0
1,1088,Rail,NHBO,Weekday,PM_peak_hr,2.0
1,1089,Rail,NHBO,Weekday,Inter_peak,1.0
1,1089,Rail,NHBO,Weekday,PM_peak,1.0
1,1090,Rail,NHBO,Weekday,AM_peak,1.0
1,1090,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1090,Rail,NHBO,Weekday,Inter_peak,2.0
1,1090,Rail,NHBO,Weekday,Off_peak,1.0
1,1090,Rail,NHBO,Weekday,PM_peak,1.0
1,1090,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1091,Rail,NHBO,Weekday,AM_peak,2.0
1,1091,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1091,Rail,NHBO,Weekday,Inter_peak,4.0
1,1091,Rail,NHBO,Weekday,Off_peak,1.0
1,1091,Rail,NHBO,Weekday,PM_peak,1.0
1,1092,Rail,NHBO,Weekday,Inter_peak,1.0
1,1092,Rail,NHBO,Weekday,Off_peak,1.0
1,1093,Rail,NHBO,Weekday,AM_peak,1.0
1,1093,Rail,NHBO,Weekday,Inter_peak,3.0
1,1093,Rail,NHBO,Weekday,Off_peak,1.0
1,1093,Rail,NHBO,Weekday,PM_peak,1.0
1,1094,Rail,NHBO,Weekday,AM_peak,1.0
1,1095,Rail,NHBO,Weekday,Inter_peak,2.0
1,1095,Rail,NHBO,Weekday,Off_peak,1.0
1,1096,Rail,NHBO,Weekday,Inter_peak,1.0
1,1099,Rail,NHBO,Weekday,AM_peak,1.0
1,1099,Rail,NHBO,Weekday,Inter_peak,1.0
1,1099,Rail,NHBO,Weekday,Off_peak,1.0
1,1099,Rail,NHBO,Weekday,PM_peak,1.0
1,1100,Rail,NHBO,Weekday,AM_peak,1.0
1,1100,Rail,NHBO,Weekday,Inter_peak,2.0
1,1100,Rail,NHBO,Weekday,Off_peak,1.0
1,1100,Rail,NHBO,Weekday,PM_peak,1.0
1,1100,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1101,Rail,NHBO,Weekday,Inter_peak,1.0
1,1101,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1102,Rail,NHBO,Weekday,AM_peak,1.0
1,1102,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1102,Rail,NHBO,Weekday,Inter_peak,3.0
1,1102,Rail,NHBO,Weekday,Off_peak,3.0
1,1102,Rail,NHBO,Weekday,PM_peak,3.0
1,1102,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1104,Rail,NHBO,Weekday,AM_peak,1.0
1,1104,Rail,NHBO,Weekday,Inter_peak,2.0
1,1104,Rail,NHBO,Weekday,Off_peak,2.0
1,1104,Rail,NHBO,Weekday,PM_peak,2.0
1,1104,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1105,Rail,NHBO,Weekday,Off_peak,1.0
1,1106,Rail,NHBO,Weekday,Inter_peak,1.0
1,1106,Rail,NHBO,Weekday,PM_peak,1.0
1,1107,Rail,NHBO,Weekday,AM_peak,1.0
1,1107,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1107,Rail,NHBO,Weekday,Inter_peak,1.0
1,1108,Rail,NHBO,Weekday,AM_peak_hr,1.0
1,1108,Rail,NHBO,Weekday,Inter_peak,4.0
1,1108,Rail,NHBO,Weekday,Off_peak,1.0
1,1108,Rail,NHBO,Weekday,PM_peak,3.0
1,1108,Rail,NHBO,Weekday,PM_peak_hr,1.0
1,1109,Rail,NHBO,Weekday,Inter_peak,1.0
1,1110,Rail,NHBO,Weekday,AM_peak,12.0
1,1110,Rail,NHBO,Weekday,AM_peak_hr,5.0
1,1110,Rail,NHBO,Weekday,Inter_peak,25.0
1,1110,Rail,NHBO,Weekday,Off_peak,5.0
1,1110,Rail,NHBO,Weekday,PM_peak,12.0
1,1110,Rail,NHBO,Weekday,PM_peak_hr,4.0
1,1111,Rail,NHBO,Weekday,AM_peak,1.0
1,1111,Rail,NHBO,Weekday,Inter_peak,1.0
1,1111,Rail,NHBO,Weekday,PM_peak_hr,1.0
2,1,Rail,NHBO,Weekday,AM_peak,1.0
2,5,Rail,NHBO,Weekday,Inter_peak,1.0
2,5,Rail,NHBO,Weekday,Off_peak,1.0
2,5,Rail,NHBO,Weekday,PM_peak_hr,1.0
2,9,Rail,NHBO,Weekday,Inter_peak,1.0
2,1030,Rail,NHBO,Weekday,Inter_peak,1.0
2,1057,Rail,NHBO,Weekday,Off_peak,1.0
2,1059,Rail,NHBO,Weekday,Inter_peak,1.0
