start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1.0,1,Road,NHBO,Weekday,AM_peak,49.0
1.0,1,Road,NHBO,Weekday,AM_peak_hr,18.0
1.0,1,Road,NHBO,Weekday,Inter_peak,141.0
1.0,1,Road,NHBO,Weekday,Off_peak,27.0
1.0,1,Road,NHBO,Weekday,PM_peak,37.0
1.0,1,Road,NHBO,Weekday,PM_peak_hr,11.0
1.0,2,Road,NHBO,Weekday,AM_peak,1.0
1.0,2,Road,NHBO,Weekday,Inter_peak,3.0
1.0,2,Road,NHBO,Weekday,Off_peak,1.0
1.0,2,Road,NHBO,Weekday,PM_peak,1.0
1.0,3,Road,NHBO,Weekday,AM_peak,5.0
1.0,3,Road,NHBO,Weekday,AM_peak_hr,1.0
1.0,3,Road,NHBO,Weekday,Inter_peak,11.0
1.0,3,Road,NHBO,Weekday,Off_peak,6.0
1.0,3,Road,NHBO,Weekday,PM_peak,3.0
1.0,3,Road,NHBO,Weekday,PM_peak_hr,1.0
1.0,4,Road,NHBO,Weekday,AM_peak,23.0
1.0,4,Road,NHBO,Weekday,AM_peak_hr,9.0
1.0,4,Road,NHBO,Weekday,Inter_peak,49.0
1.0,4,Road,NHBO,Weekday,Off_peak,22.0
1.0,4,Road,NHBO,Weekday,PM_peak,16.0
1.0,4,Road,NHBO,Weekday,PM_peak_hr,5.0
1.0,5,Road,NHBO,Weekday,AM_peak,15.0
1.0,5,Road,NHBO,Weekday,AM_peak_hr,4.0
1.0,5,Road,NHBO,Weekday,Inter_peak,41.0
1.0,5,Road,NHBO,Weekday,Off_peak,12.0
1.0,5,Road,NHBO,Weekday,PM_peak,14.0
1.0,5,Road,NHBO,Weekday,PM_peak_hr,5.0
1.0,6,Road,NHBO,Weekday,Inter_peak,1.0
1.0,6,Road,NHBO,Weekday,Off_peak,1.0
1.0,7,Road,NHBO,Weekday,AM_peak,48.0
1.0,7,Road,NHBO,Weekday,AM_peak_hr,16.0
1.0,7,Road,NHBO,Weekday,Inter_peak,154.0
1.0,7,Road,NHBO,Weekday,Off_peak,35.0
1.0,7,Road,NHBO,Weekday,PM_peak,37.0
1.0,7,Road,NHBO,Weekday,PM_peak_hr,12.0
1.0,8,Road,NHBO,Weekday,AM_peak,21.0
1.0,8,Road,NHBO,Weekday,AM_peak_hr,8.0
1.0,8,Road,NHBO,Weekday,Inter_peak,42.0
1.0,8,Road,NHBO,Weekday,Off_peak,9.0
1.0,8,Road,NHBO,Weekday,PM_peak,12.0
1.0,8,Road,NHBO,Weekday,PM_peak_hr,3.0
1.0,9,Road,NHBO,Weekday,AM_peak,13.0
1.0,9,Road,NHBO,Weekday,AM_peak_hr,5.0
1.0,9,Road,NHBO,Weekday,Inter_peak,36.0
1.0,9,Road,NHBO,Weekday,Off_peak,6.0
1.0,9,Road,NHBO,Weekday,PM_peak,11.0
1.0,9,Road,NHBO,Weekday,PM_peak_hr,5.0
1.0,1001,Road,NHBO,Weekday,AM_peak,4.0
1.0,1001,Road,NHBO,Weekday,AM_peak_hr,1.0
1.0,1001,Road,NHBO,Weekday,Inter_peak,10.0
1.0,1001,Road,NHBO,Weekday,Off_peak,4.0
1.0,1001,Road,NHBO,Weekday,PM_peak,2.0
1.0,1002,Road,NHBO,Weekday,AM_peak,4.0
1.0,1002,Road,NHBO,Weekday,AM_peak_hr,1.0
1.0,1002,Road,NHBO,Weekday,Inter_peak,19.0
1.0,1002,Road,NHBO,Weekday,Off_peak,4.0
1.0,1002,Road,NHBO,Weekday,PM_peak,5.0
1.0,1002,Road,NHBO,Weekday,PM_peak_hr,3.0
1.0,1003,Road,NHBO,Weekday,AM_peak,2.0
1.0,1003,Road,NHBO,Weekday,AM_peak_hr,1.0
1.0,1003,Road,NHBO,Weekday,Inter_peak,5.0
1.0,1003,Road,NHBO,Weekday,Off_peak,1.0
1.0,1003,Road,NHBO,Weekday,PM_peak,2.0
1.0,1004,Road,NHBO,Weekday,AM_peak,2.0
1.0,1004,Road,NHBO,Weekday,Inter_peak,6.0
1.0,1004,Road,NHBO,Weekday,Off_peak,2.0
1.0,1004,Road,NHBO,Weekday,PM_peak,2.0
1.0,1005,Road,NHBO,Weekday,AM_peak,10.0
1.0,1005,Road,NHBO,Weekday,AM_peak_hr,4.0
1.0,1005,Road,NHBO,Weekday,Inter_peak,23.0
1.0,1005,Road,NHBO,Weekday,Off_peak,6.0
1.0,1005,Road,NHBO,Weekday,PM_peak,7.0
1.0,1005,Road,NHBO,Weekday,PM_peak_hr,2.0
1.0,1006,Road,NHBO,Weekday,AM_peak,3.0
1.0,1006,Road,NHBO,Weekday,AM_peak_hr,1.0
1.0,1006,Road,NHBO,Weekday,Inter_peak,9.0
1.0,1006,Road,NHBO,Weekday,Off_peak,3.0
1.0,1006,Road,NHBO,Weekday,PM_peak,4.0
1.0,1006,Road,NHBO,Weekday,PM_peak_hr,1.0
1.0,1007,Road,NHBO,Weekday,AM_peak,7.0
1.0,1007,Road,NHBO,Weekday,AM_peak_hr,3.0
1.0,1007,Road,NHBO,Weekday,Inter_peak,29.0
1.0,1007,Road,NHBO,Weekday,Off_peak,6.0
1.0,1007,Road,NHBO,Weekday,PM_peak,11.0
1.0,1007,Road,NHBO,Weekday,PM_peak_hr,3.0
1.0,1008,Road,NHBO,Weekday,AM_peak,5.0
1.0,1008,Road,NHBO,Weekday,AM_peak_hr,2.0
1.0,1008,Road,NHBO,Weekday,Inter_peak,21.0
1.0,1008,Road,NHBO,Weekday,Off_peak,4.0
1.0,1008,Road,NHBO,Weekday,PM_peak,5.0
1.0,1008,Road,NHBO,Weekday,PM_peak_hr,1.0
1.0,1009,Road,NHBO,Weekday,AM_peak,12.0
1.0,1009,Road,NHBO,Weekday,AM_peak_hr,4.0
1.0,1009,Road,NHBO,Weekday,Inter_peak,36.0
1.0,1009,Road,NHBO,Weekday,Off_peak,9.0
1.0,1009,Road,NHBO,Weekday,PM_peak,12.0
1.0,1009,Road,NHBO,Weekday,PM_peak_hr,5.0
1.0,1010,Road,NHBO,Weekday,AM_peak,19.0
1.0,1010,Road,NHBO,Weekday,AM_peak_hr,5.0
1.0,1010,Road,NHBO,Weekday,Inter_peak,58.0
1.0,1010,Road,NHBO,Weekday,Off_peak,22.0
1.0,1010,Road,NHBO,Weekday,PM_peak,29.0
1.0,1010,Road,NHBO,Weekday,PM_peak_hr,10.0
1.0,1011,Road,NHBO,Weekday,AM_peak,24.0
1.0,1011,Road,NHBO,Weekday,AM_peak_hr,7.0
1.0,1011,Road,NHBO,Weekday,Inter_peak,64.0
1.0,1011,Road,NHBO,Weekday,Off_peak,22.0
1.0,1011,Road,NHBO,Weekday,PM_peak,29.0
1.0,1011,Road,NHBO,Weekday,PM_peak_hr,12.0
1.0,1012,Road,NHBO,Weekday,AM_peak,11.0
1.0,1012,Road,NHBO,Weekday,AM_peak_hr,4.0
1.0,1012,Road,NHBO,Weekday,Inter_peak,43.0
1.0,1012,Road,NHBO,Weekday,Off_peak,11.0
1.0,1012,Road,NHBO,Weekday,PM_peak,17.0
1.0,1012,Road,NHBO,Weekday,PM_peak_hr,6.0
1.0,1013,Road,NHBO,Weekday,AM_peak,15.0
1.0,1013,Road,NHBO,Weekday,AM_peak_hr,5.0
1.0,1013,Road,NHBO,Weekday,Inter_peak,51.0
1.0,1013,Road,NHBO,Weekday,Off_peak,12.0
1.0,1013,Road,NHBO,Weekday,PM_peak,16.0
1.0,1013,Road,NHBO,Weekday,PM_peak_hr,5.0
1.0,1014,Road,NHBO,Weekday,AM_peak,21.0
1.0,1014,Road,NHBO,Weekday,AM_peak_hr,7.0
1.0,1014,Road,NHBO,Weekday,Inter_peak,82.0
1.0,1014,Road,NHBO,Weekday,Off_peak,27.0
