start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1,1,Rail,NHBW,Weekday,Inter_peak,1.0
1,1,Rail,NHBW,Weekday,Off_peak,1.0
1,4,Rail,NHBW,Weekday,Inter_peak,1.0
1,5,Rail,NHBW,Weekday,PM_peak,1.0
1,7,Rail,NHBW,Weekday,Off_peak,1.0
1,9,Rail,NHBW,Weekday,AM_peak,1.0
1,1007,Rail,NHBW,Weekday,PM_peak_hr,1.0
1,1009,Rail,NHBW,Weekday,Inter_peak,1.0
1,1015,Rail,NHBW,Weekday,PM_peak,1.0
1,1016,Rail,NHBW,Weekday,Inter_peak,1.0
1,1016,Rail,NHBW,Weekday,PM_peak,1.0
1,1016,Rail,NHBW,Weekday,PM_peak_hr,1.0
1,1018,Rail,NHBW,Weekday,Off_peak,1.0
1,1023,Rail,NHBW,Weekday,Inter_peak,1.0
1,1023,Rail,NHBW,Weekday,Off_peak,1.0
1,1024,Rail,NHBW,Weekday,Inter_peak,1.0
1,1028,Rail,NHBW,Weekday,AM_peak,1.0
1,1030,Rail,NHBW,Weekday,AM_peak,1.0
1,1030,Rail,NHBW,Weekday,Inter_peak,1.0
1,1031,Rail,NHBW,Weekday,PM_peak,1.0
1,1032,Rail,NHBW,Weekday,PM_peak,1.0
1,1033,Rail,NHBW,Weekday,AM_peak,1.0
1,1034,Rail,NHBW,Weekday,AM_peak,1.0
1,1034,Rail,NHBW,Weekday,PM_peak_hr,1.0
1,1035,Rail,NHBW,Weekday,Inter_peak,1.0
1,1039,Rail,NHBW,Weekday,AM_peak,1.0
1,1041,Rail,NHBW,Weekday,PM_peak,1.0
1,1050,Rail,NHBW,Weekday,Inter_peak,1.0
1,1064,Rail,NHBW,Weekday,AM_peak,1.0
1,1066,Rail,NHBW,Weekday,PM_peak,1.0
1,1068,Rail,NHBW,Weekday,Off_peak,1.0
1,1071,Rail,NHBW,Weekday,PM_peak,1.0
1,1075,Rail,NHBW,Weekday,PM_peak,1.0
1,1077,Rail,NHBW,Weekday,PM_peak_hr,1.0
1,1080,Rail,NHBW,Weekday,PM_peak,1.0
1,1082,Rail,NHBW,Weekday,AM_peak,1.0
1,1082,Rail,NHBW,Weekday,Inter_peak,1.0
1,1082,Rail,NHBW,Weekday,PM_peak,1.0
1,1082,Rail,NHBW,Weekday,PM_peak_hr,1.0
1,1083,Rail,NHBW,Weekday,AM_peak_hr,1.0
1,1083,Rail,NHBW,Weekday,PM_peak_hr,1.0
1,1084,Rail,NHBW,Weekday,AM_peak,1.0
1,1084,Rail,NHBW,Weekday,PM_peak,1.0
1,1084,Rail,NHBW,Weekday,PM_peak_hr,1.0
1,1085,Rail,NHBW,Weekday,AM_peak,1.0
1,1085,Rail,NHBW,Weekday,PM_peak,1.0
1,1086,Rail,NHBW,Weekday,PM_peak,1.0
1,1087,Rail,NHBW,Weekday,AM_peak,2.0
1,1087,Rail,NHBW,Weekday,AM_peak_hr,1.0
1,1088,Rail,NHBW,Weekday,AM_peak,8.0
1,1088,Rail,NHBW,Weekday,AM_peak_hr,2.0
1,1088,Rail,NHBW,Weekday,Inter_peak,8.0
1,1088,Rail,NHBW,Weekday,Off_peak,3.0
1,1088,Rail,NHBW,Weekday,PM_peak,11.0
1,1088,Rail,NHBW,Weekday,PM_peak_hr,5.0
1,1089,Rail,NHBW,Weekday,AM_peak,1.0
1,1089,Rail,NHBW,Weekday,PM_peak,1.0
1,1090,Rail,NHBW,Weekday,AM_peak,3.0
1,1090,Rail,NHBW,Weekday,AM_peak_hr,1.0
1,1090,Rail,NHBW,Weekday,Inter_peak,1.0
1,1090,Rail,NHBW,Weekday,PM_peak,1.0
1,1091,Rail,NHBW,Weekday,AM_peak,1.0
1,1091,Rail,NHBW,Weekday,AM_peak_hr,1.0
1,1091,Rail,NHBW,Weekday,Off_peak,1.0
1,1091,Rail,NHBW,Weekday,PM_peak,1.0
1,1092,Rail,NHBW,Weekday,Inter_peak,1.0
1,1093,Rail,NHBW,Weekday,Inter_peak,1.0
1,1095,Rail,NHBW,Weekday,Off_peak,1.0
1,1095,Rail,NHBW,Weekday,PM_peak_hr,1.0
1,1096,Rail,NHBW,Weekday,AM_peak,1.0
1,1096,Rail,NHBW,Weekday,Inter_peak,1.0
1,1096,Rail,NHBW,Weekday,PM_peak,1.0
1,1099,Rail,NHBW,Weekday,Off_peak,1.0
