start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1,1,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1,Rail,OB_HBO,Weekday,PM_peak_hr,1.0
1,2,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,3,Rail,OB_HBO,Weekday,AM_peak,1.0
1,3,Rail,OB_HBO,Weekday,Inter_peak,3.0
1,3,Rail,OB_HBO,Weekday,Off_peak,1.0
1,4,Rail,OB_HBO,Weekday,AM_peak,1.0
1,4,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,5,Rail,OB_HBO,Weekday,Off_peak,1.0
1,6,Rail,OB_HBO,Weekday,AM_peak,1.0
1,6,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,6,Rail,OB_HBO,Weekday,Off_peak,1.0
1,7,Rail,OB_HBO,Weekday,AM_peak,1.0
1,7,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,8,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1004,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1005,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1006,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1007,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1007,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1008,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1010,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1010,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1011,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1011,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1012,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1012,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1014,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1015,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1015,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1015,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1016,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1016,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1016,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1017,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1018,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1024,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1025,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1025,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1027,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1028,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1028,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1032,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1033,Rail,OB_HBO,Weekday,AM_peak,3.0
1,1033,Rail,OB_HBO,Weekday,AM_peak_hr,2.0
1,1033,Rail,OB_HBO,Weekday,Inter_peak,2.0
1,1033,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1034,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1034,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1035,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1036,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1037,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1038,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1039,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1039,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1039,Rail,OB_HBO,Weekday,PM_peak_hr,1.0
1,1040,Rail,OB_HBO,Weekday,Inter_peak,2.0
1,1040,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1041,Rail,OB_HBO,Weekday,Inter_peak,2.0
1,1042,Rail,OB_HBO,Weekday,Inter_peak,2.0
1,1043,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1044,Rail,OB_HBO,Weekday,PM_peak_hr,1.0
1,1045,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1046,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1046,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1047,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1049,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1050,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1055,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1055,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1055,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1057,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1058,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1059,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1059,Rail,OB_HBO,Weekday,Inter_peak,2.0
1,1059,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1062,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1065,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1066,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1067,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1068,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1070,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1070,Rail,OB_HBO,Weekday,Inter_peak,3.0
1,1072,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1076,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1077,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1079,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1080,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1081,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1081,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1081,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1082,Rail,OB_HBO,Weekday,AM_peak,3.0
1,1082,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1082,Rail,OB_HBO,Weekday,Inter_peak,2.0
1,1082,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1082,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1082,Rail,OB_HBO,Weekday,PM_peak_hr,1.0
1,1083,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1083,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1083,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1083,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1084,Rail,OB_HBO,Weekday,AM_peak,4.0
1,1084,Rail,OB_HBO,Weekday,AM_peak_hr,2.0
1,1084,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1085,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1085,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1085,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1086,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1086,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1086,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1087,Rail,OB_HBO,Weekday,AM_peak,4.0
1,1087,Rail,OB_HBO,Weekday,AM_peak_hr,2.0
1,1087,Rail,OB_HBO,Weekday,Inter_peak,3.0
1,1087,Rail,OB_HBO,Weekday,PM_peak_hr,1.0
1,1088,Rail,OB_HBO,Weekday,AM_peak,25.0
1,1088,Rail,OB_HBO,Weekday,AM_peak_hr,9.0
1,1088,Rail,OB_HBO,Weekday,Inter_peak,40.0
1,1088,Rail,OB_HBO,Weekday,Off_peak,3.0
1,1088,Rail,OB_HBO,Weekday,PM_peak,7.0
1,1088,Rail,OB_HBO,Weekday,PM_peak_hr,3.0
1,1089,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1089,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1090,Rail,OB_HBO,Weekday,AM_peak,2.0
1,1090,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1090,Rail,OB_HBO,Weekday,Inter_peak,3.0
1,1091,Rail,OB_HBO,Weekday,AM_peak,3.0
1,1091,Rail,OB_HBO,Weekday,AM_peak_hr,2.0
1,1091,Rail,OB_HBO,Weekday,Inter_peak,5.0
1,1091,Rail,OB_HBO,Weekday,PM_peak,2.0
1,1092,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1092,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1093,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1093,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1093,Rail,OB_HBO,Weekday,Inter_peak,2.0
1,1093,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1093,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1093,Rail,OB_HBO,Weekday,PM_peak_hr,1.0
1,1094,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1094,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1095,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1095,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1095,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1096,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1099,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1099,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1099,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1100,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1100,Rail,OB_HBO,Weekday,Inter_peak,2.0
1,1102,Rail,OB_HBO,Weekday,AM_peak,2.0
1,1102,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1102,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1102,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1102,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1104,Rail,OB_HBO,Weekday,AM_peak,3.0
1,1104,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1104,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1104,Rail,OB_HBO,Weekday,PM_peak,1.0
1,1106,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1107,Rail,OB_HBO,Weekday,AM_peak,1.0
1,1107,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1107,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1108,Rail,OB_HBO,Weekday,AM_peak,3.0
1,1108,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1108,Rail,OB_HBO,Weekday,Inter_peak,4.0
1,1108,Rail,OB_HBO,Weekday,Off_peak,1.0
1,1108,Rail,OB_HBO,Weekday,PM_peak,2.0
1,1108,Rail,OB_HBO,Weekday,PM_peak_hr,1.0
1,1109,Rail,OB_HBO,Weekday,Inter_peak,1.0
1,1110,Rail,OB_HBO,Weekday,AM_peak,24.0
1,1110,Rail,OB_HBO,Weekday,AM_peak_hr,10.0
1,1110,Rail,OB_HBO,Weekday,Inter_peak,27.0
1,1110,Rail,OB_HBO,Weekday,Off_peak,2.0
1,1110,Rail,OB_HBO,Weekday,PM_peak,4.0
1,1110,Rail,OB_HBO,Weekday,PM_peak_hr,1.0
1,1111,Rail,OB_HBO,Weekday,AM_peak,3.0
1,1111,Rail,OB_HBO,Weekday,AM_peak_hr,1.0
1,1111,Rail,OB_HBO,Weekday,Inter_peak,1.0
2,5,Rail,OB_HBO,Weekday,Inter_peak,1.0
