start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1,1,Road,OB_HBO,Weekday,AM_peak,123
1,1,Road,OB_HBO,Weekday,AM_peak_hr,46
1,1,Road,OB_HBO,Weekday,Inter_peak,155
1,1,Road,OB_HBO,Weekday,Off_peak,72
1,1,Road,OB_HBO,Weekday,PM_peak,59
1,1,Road,OB_HBO,Weekday,PM_peak_hr,19
1,2,Road,OB_HBO,Weekday,AM_peak,2
1,2,Road,OB_HBO,Weekday,AM_peak_hr,1
1,2,Road,OB_HBO,Weekday,Inter_peak,3
1,2,Road,OB_HBO,Weekday,Off_peak,2
1,2,Road,OB_HBO,Weekday,PM_peak,1
1,3,Road,OB_HBO,Weekday,AM_peak,6
1,3,Road,OB_HBO,Weekday,AM_peak_hr,2
1,3,Road,OB_HBO,Weekday,Inter_peak,9
1,3,Road,OB_HBO,Weekday,Off_peak,6
1,3,Road,OB_HBO,Weekday,PM_peak,2
1,3,Road,OB_HBO,Weekday,PM_peak_hr,1
1,4,Road,OB_HBO,Weekday,AM_peak,32
1,4,Road,OB_HBO,Weekday,AM_peak_hr,10
1,4,Road,OB_HBO,Weekday,Inter_peak,41
1,4,Road,OB_HBO,Weekday,Off_peak,23
1,4,Road,OB_HBO,Weekday,PM_peak,12
1,4,Road,OB_HBO,Weekday,PM_peak_hr,4
1,5,Road,OB_HBO,Weekday,AM_peak,37
1,5,Road,OB_HBO,Weekday,AM_peak_hr,14
1,5,Road,OB_HBO,Weekday,Inter_peak,28
1,5,Road,OB_HBO,Weekday,Off_peak,17
1,5,Road,OB_HBO,Weekday,PM_peak,7
1,5,Road,OB_HBO,Weekday,PM_peak_hr,2
1,6,Road,OB_HBO,Weekday,AM_peak,2
1,6,Road,OB_HBO,Weekday,AM_peak_hr,1
1,6,Road,OB_HBO,Weekday,Inter_peak,2
1,6,Road,OB_HBO,Weekday,Off_peak,1
1,6,Road,OB_HBO,Weekday,PM_peak,1
1,7,Road,OB_HBO,Weekday,AM_peak,112
1,7,Road,OB_HBO,Weekday,AM_peak_hr,43
1,7,Road,OB_HBO,Weekday,Inter_peak,160
1,7,Road,OB_HBO,Weekday,Off_peak,35
1,7,Road,OB_HBO,Weekday,PM_peak,31
1,7,Road,OB_HBO,Weekday,PM_peak_hr,11
1,8,Road,OB_HBO,Weekday,AM_peak,46
1,8,Road,OB_HBO,Weekday,AM_peak_hr,20
1,8,Road,OB_HBO,Weekday,Inter_peak,51
1,8,Road,OB_HBO,Weekday,Off_peak,12
1,8,Road,OB_HBO,Weekday,PM_peak,10
1,8,Road,OB_HBO,Weekday,PM_peak_hr,4
1,9,Road,OB_HBO,Weekday,AM_peak,37
1,9,Road,OB_HBO,Weekday,AM_peak_hr,13
1,9,Road,OB_HBO,Weekday,Inter_peak,44
1,9,Road,OB_HBO,Weekday,Off_peak,17
1,9,Road,OB_HBO,Weekday,PM_peak,14
1,9,Road,OB_HBO,Weekday,PM_peak_hr,4
1,1001,Road,OB_HBO,Weekday,AM_peak,7
1,1001,Road,OB_HBO,Weekday,AM_peak_hr,2
1,1001,Road,OB_HBO,Weekday,Inter_peak,9
1,1001,Road,OB_HBO,Weekday,Off_peak,2
1,1001,Road,OB_HBO,Weekday,PM_peak,1
1,1001,Road,OB_HBO,Weekday,PM_peak_hr,1
1,1002,Road,OB_HBO,Weekday,AM_peak,10
1,1002,Road,OB_HBO,Weekday,AM_peak_hr,3
1,1002,Road,OB_HBO,Weekday,Inter_peak,18
1,1002,Road,OB_HBO,Weekday,Off_peak,6
1,1002,Road,OB_HBO,Weekday,PM_peak,4
1,1002,Road,OB_HBO,Weekday,PM_peak_hr,2
1,1003,Road,OB_HBO,Weekday,AM_peak,5
1,1003,Road,OB_HBO,Weekday,AM_peak_hr,2
1,1003,Road,OB_HBO,Weekday,Inter_peak,5
1,1003,Road,OB_HBO,Weekday,Off_peak,2
1,1003,Road,OB_HBO,Weekday,PM_peak,1
1,1004,Road,OB_HBO,Weekday,AM_peak,4
1,1004,Road,OB_HBO,Weekday,AM_peak_hr,1
1,1004,Road,OB_HBO,Weekday,Inter_peak,3
1,1004,Road,OB_HBO,Weekday,Off_peak,2
1,1004,Road,OB_HBO,Weekday,PM_peak,1
1,1004,Road,OB_HBO,Weekday,PM_peak_hr,1
1,1005,Road,OB_HBO,Weekday,AM_peak,24
1,1005,Road,OB_HBO,Weekday,AM_peak_hr,8
1,1005,Road,OB_HBO,Weekday,Inter_peak,17
1,1005,Road,OB_HBO,Weekday,Off_peak,6
1,1005,Road,OB_HBO,Weekday,PM_peak,4
1,1005,Road,OB_HBO,Weekday,PM_peak_hr,1
1,1006,Road,OB_HBO,Weekday,AM_peak,5
1,1006,Road,OB_HBO,Weekday,AM_peak_hr,2
1,1006,Road,OB_HBO,Weekday,Inter_peak,6
1,1006,Road,OB_HBO,Weekday,Off_peak,3
1,1007,Road,OB_HBO,Weekday,AM_peak,18
1,1007,Road,OB_HBO,Weekday,AM_peak_hr,7
1,1007,Road,OB_HBO,Weekday,Inter_peak,27
1,1007,Road,OB_HBO,Weekday,Off_peak,5
1,1007,Road,OB_HBO,Weekday,PM_peak,4
1,1007,Road,OB_HBO,Weekday,PM_peak_hr,2
1,1008,Road,OB_HBO,Weekday,AM_peak,13
1,1008,Road,OB_HBO,Weekday,AM_peak_hr,5
1,1008,Road,OB_HBO,Weekday,Inter_peak,19
1,1008,Road,OB_HBO,Weekday,Off_peak,4
1,1008,Road,OB_HBO,Weekday,PM_peak,2
1,1008,Road,OB_HBO,Weekday,PM_peak_hr,1
1,1009,Road,OB_HBO,Weekday,AM_peak,38
1,1009,Road,OB_HBO,Weekday,AM_peak_hr,14
1,1009,Road,OB_HBO,Weekday,Inter_peak,36
1,1009,Road,OB_HBO,Weekday,Off_peak,11
