start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1,1,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,5,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,6,Rail,OB_HBW,Weekday,Off_peak,4.0
1,1011,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1011,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1012,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1014,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1015,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1017,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1017,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1018,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1025,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1028,Rail,OB_HBW,Weekday,AM_peak,3.0
1,1028,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1030,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1030,Rail,OB_HBW,Weekday,PM_peak,1.0
1,1033,Rail,OB_HBW,Weekday,AM_peak,3.0
1,1033,Rail,OB_HBW,Weekday,AM_peak_hr,3.0
1,1033,Rail,OB_HBW,Weekday,Inter_peak,1.0
1,1034,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1037,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1040,Rail,OB_HBW,Weekday,Inter_peak,1.0
1,1042,Rail,OB_HBW,Weekday,Off_peak,1.0
1,1045,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1055,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1055,Rail,OB_HBW,Weekday,Off_peak,1.0
1,1059,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1065,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1077,Rail,OB_HBW,Weekday,Off_peak,1.0
1,1082,Rail,OB_HBW,Weekday,AM_peak,2.0
1,1082,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1082,Rail,OB_HBW,Weekday,Off_peak,1.0
1,1083,Rail,OB_HBW,Weekday,AM_peak,3.0
1,1084,Rail,OB_HBW,Weekday,AM_peak,4.0
1,1084,Rail,OB_HBW,Weekday,AM_peak_hr,2.0
1,1085,Rail,OB_HBW,Weekday,AM_peak,2.0
1,1085,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1086,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1087,Rail,OB_HBW,Weekday,AM_peak,2.0
1,1087,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1087,Rail,OB_HBW,Weekday,Inter_peak,1.0
1,1088,Rail,OB_HBW,Weekday,AM_peak,34.0
1,1088,Rail,OB_HBW,Weekday,AM_peak_hr,14.0
1,1088,Rail,OB_HBW,Weekday,Inter_peak,2.0
1,1088,Rail,OB_HBW,Weekday,Off_peak,1.0
1,1088,Rail,OB_HBW,Weekday,PM_peak,1.0
1,1089,Rail,OB_HBW,Weekday,Inter_peak,1.0
1,1090,Rail,OB_HBW,Weekday,AM_peak,6.0
1,1090,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1090,Rail,OB_HBW,Weekday,Inter_peak,1.0
1,1090,Rail,OB_HBW,Weekday,PM_peak,1.0
1,1091,Rail,OB_HBW,Weekday,AM_peak,7.0
1,1091,Rail,OB_HBW,Weekday,AM_peak_hr,2.0
1,1091,Rail,OB_HBW,Weekday,Off_peak,1.0
1,1093,Rail,OB_HBW,Weekday,AM_peak,4.0
1,1093,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1095,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1095,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1097,Rail,OB_HBW,Weekday,Off_peak,1.0
1,1099,Rail,OB_HBW,Weekday,AM_peak,3.0
1,1099,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1100,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1100,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
1,1104,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1108,Rail,OB_HBW,Weekday,AM_peak,2.0
1,1108,Rail,OB_HBW,Weekday,AM_peak_hr,2.0
1,1110,Rail,OB_HBW,Weekday,AM_peak,35.0
1,1110,Rail,OB_HBW,Weekday,AM_peak_hr,18.0
1,1110,Rail,OB_HBW,Weekday,Inter_peak,2.0
1,1110,Rail,OB_HBW,Weekday,Off_peak,3.0
1,1110,Rail,OB_HBW,Weekday,PM_peak_hr,1.0
1,1111,Rail,OB_HBW,Weekday,AM_peak,1.0
1,1111,Rail,OB_HBW,Weekday,Inter_peak,1.0
1,1111,Rail,OB_HBW,Weekday,PM_peak,1.0
3,8,Rail,OB_HBW,Weekday,Inter_peak,1.0
3,1034,Rail,OB_HBW,Weekday,AM_peak,1.0
3,1062,Rail,OB_HBW,Weekday,AM_peak,1.0
4,1,Rail,OB_HBW,Weekday,Inter_peak,1.0
4,5,Rail,OB_HBW,Weekday,AM_peak,4.0
4,5,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
4,6,Rail,OB_HBW,Weekday,AM_peak,1.0
4,6,Rail,OB_HBW,Weekday,Off_peak,1.0
4,1059,Rail,OB_HBW,Weekday,AM_peak,1.0
4,1088,Rail,OB_HBW,Weekday,AM_peak,1.0
4,1095,Rail,OB_HBW,Weekday,PM_peak,1.0
5,1,Rail,OB_HBW,Weekday,AM_peak_hr,1.0
5,3,Rail,OB_HBW,Weekday,AM_peak,1.0
5,5,Rail,OB_HBW,Weekday,AM_peak,12.0
