start_zone,end_zone,mode_of_travel,purpose_of_travel,day_of_week,period,avg_daily_trips
1.0,1.0,Road,OB_HBO,Weekday,AM_peak,123.0
1.0,1.0,Road,OB_HBO,Weekday,AM_peak_hr,46.0
1.0,1.0,Road,OB_HBO,Weekday,Inter_peak,155.0
1.0,1.0,Road,OB_HBO,Weekday,Off_peak,72.0
1.0,1.0,Road,OB_HBO,Weekday,PM_peak,59.0
1.0,1.0,Road,OB_HBO,Weekday,PM_peak_hr,19.0
1.0,2.0,Road,OB_HBO,Weekday,AM_peak,2.0
1.0,2.0,Road,OB_HBO,Weekday,AM_peak_hr,1.0
1.0,2.0,Road,OB_HBO,Weekday,Inter_peak,3.0
1.0,2.0,Road,OB_HBO,Weekday,Off_peak,2.0
1.0,2.0,Road,OB_HBO,Weekday,PM_peak,1.0
1.0,3.0,Road,OB_HBO,Weekday,AM_peak,6.0
1.0,3.0,Road,OB_HBO,Weekday,AM_peak_hr,2.0
1.0,3.0,Road,OB_HBO,Weekday,Inter_peak,9.0
1.0,3.0,Road,OB_HBO,Weekday,Off_peak,6.0
1.0,3.0,Road,OB_HBO,Weekday,PM_peak,2.0
1.0,3.0,Road,OB_HBO,Weekday,PM_peak_hr,1.0
1.0,4.0,Road,OB_HBO,Weekday,AM_peak,32.0
1.0,4.0,Road,OB_HBO,Weekday,AM_peak_hr,10.0
1.0,4.0,Road,OB_HBO,Weekday,Inter_peak,41.0
1.0,4.0,Road,OB_HBO,Weekday,Off_peak,23.0
1.0,4.0,Road,OB_HBO,Weekday,PM_peak,12.0
1.0,4.0,Road,OB_HBO,Weekday,PM_peak_hr,4.0
1.0,5.0,Road,OB_HBO,Weekday,AM_peak,37.0
1.0,5.0,Road,OB_HBO,Weekday,AM_peak_hr,14.0
1.0,5.0,Road,OB_HBO,Weekday,Inter_peak,28.0
1.0,5.0,Road,OB_HBO,Weekday,Off_peak,17.0
1.0,5.0,Road,OB_HBO,Weekday,PM_peak,7.0
1.0,5.0,Road,OB_HBO,Weekday,PM_peak_hr,2.0
1.0,6.0,Road,OB_HBO,Weekday,AM_peak,2.0
1.0,6.0,Road,OB_HBO,Weekday,AM_peak_hr,1.0
1.0,6.0,Road,OB_HBO,Weekday,Inter_peak,2.0
1.0,6.0,Road,OB_HBO,Weekday,Off_peak,1.0
1.0,6.0,Road,OB_HBO,Weekday,PM_peak,1.0
1.0,7.0,Road,OB_HBO,Weekday,AM_peak,112.0
1.0,7.0,Road,OB_HBO,Weekday,AM_peak_hr,43.0
1.0,7.0,Road,OB_HBO,Weekday,Inter_peak,160.0
1.0,7.0,Road,OB_HBO,Weekday,Off_peak,35.0
1.0,7.0,Road,OB_HBO,Weekday,PM_peak,31.0
1.0,7.0,Road,OB_HBO,Weekday,PM_peak_hr,11.0
1.0,8.0,Road,OB_HBO,Weekday,AM_peak,46.0
1.0,8.0,Road,OB_HBO,Weekday,AM_peak_hr,20.0
