Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed,Distance,Average_Q,Capacity,V_C,Delay,Total_Time,Net_Speed,CalValFlag,AllObs,AllMod,AllDiff,AllGEH,AllFlowTest,CarObs,CarMod,CarDiff,CarGEH,CarFlowTest,LGVObs,LGVMod,LGVDiff,LGVGEH,LGVFlowTest,HGVObs,HGVMod,HGVDiff,HGVGEH,HGVFlowTest
5016-1001,5016,1001,562280,321750,562680,322060,1,64,545,0,1720,32.09,0.64,31.29,62.7,,,,,,,,,,,,,,,,,,,,,
7036-1001,7036,1001,563200,322190,562680,322060,1,64,542,0,1720,29.6,0.47,30.96,63.03,,,,,,,,,,,,,,,,,,,,,
7036-1002,7036,1002,563200,322190,563320,322210,2,64,121,1.69,3038.15,18.17,11.74,18.54,23.49,Calibration,534.1666667,511.9395652,-22.22710145,-0.971873935,Pass Low,453.1666667,434.55,-18.61666667,-0.883648885,Pass Low,52.5,49.72,-2.78,-0.388858732,Pass Low,28.5,27.66956522,-0.830434783,-0.156700361,Pass Low
7037-1002,7037,1002,563460,322240,563320,322210,2,64,150,2.01,1859.42,32.93,13.25,21.69,24.9,Calibration,573.5,565.8330435,-7.666956522,-0.321227451,Pass Low,473.5,471.56,-1.94,-0.089245646,Pass Low,60.66666667,61.56,0.893333333,0.114273506,Pass Low,39.33333333,32.71304348,-6.620289855,-1.103026458,Pass Low
4007-1002,4007,1002,563310,322090,563320,322210,1,30,132,2.49,421.54,66.21,44.55,60.39,7.87,Calibration,262,261.5204348,-0.479565217,-0.029641205,Pass Low,210,210.04,0.04,0.002760131,Pass Low,38.33333333,37.95,-0.383333333,-0.062069286,Pass Low,13.66666667,13.53043478,-0.136231884,-0.036943025,Pass Low
7045-1003,7045,1003,564050,322330,564150,322360,1,64,102,0.03,2700.27,23.95,1.51,7.25,50.64,,,,,,,,,,,,,,,,,,,,,
2789-1003,2789,1003,564290,322410,564150,322360,1,64,140,0,1874.5,27.38,1.32,9.2,54.8,,,,,,,,,,,,,,,,,,,,,
7506-1003,7506,1003,564180,322090,564150,322360,1,48,290,0.05,1587.66,9.72,2.04,23.79,43.89,,,,,,,,,,,,,,,,,,,,,
2014-1004,2014,1004,564190,322040,564160,322010,2,48,40,0.02,2919.78,15.28,1.86,4.86,29.63,,,,,,,,,,,,,,,,,,,,,
2120-1004,2120,1004,563920,321690,564160,322010,1,48,394,0,1720,33.56,4.32,33.87,41.88,,,,,,,,,,,,,,,,,,,,,
7506-1004,7506,1004,564180,322090,564160,322010,1,48,97,0.33,652.08,34.15,7.92,15.19,22.99,,,,,,,,,,,,,,,,,,,,,
2014-1005,2014,1005,564190,322040,564550,322400,1,48,507,4.01,427.58,90.94,76.43,114.46,15.95,Calibration,347.5,382.013913,34.51391304,1.807142538,Pass Low,308.3333333,325.61,17.27666667,0.970397642,Pass Low,36.66666667,55.73,19.06333333,2.804695307,Pass Low,2.5,0.673913043,-1.826086957,-1.449569158,Pass Low
2789-1005,2789,1005,564290,322410,564550,322400,1,64,260,8.48,513.4,102.08,138.93,153.56,6.1,Calibration,523.6666667,486.3791304,-37.28753623,-1.659235967,Pass Low,422.3333333,411.05,-11.28333333,-0.552751603,Pass Low,62.16666667,49.39,-12.77666667,-1.710743103,Pass Low,39.16666667,25.93913043,-13.22753623,-2.318377362,Pass Low
1201-1005,1201,1005,564550,322690,564550,322400,1,48,299,1.67,582,61.51,24.75,47.17,22.82,Calibration,293.3333333,329.906087,36.57275362,2.071787463,Pass Low,259.8333333,265.52,5.686666667,0.350870636,Pass Low,30.66666667,45.86,15.19333333,2.456188341,Pass Low,2.833333333,18.52608696,15.69275362,4.80196979,Pass Low
7005-1005,7005,1005,564600,322410,564550,322400,2,64,48,4.6,1281.63,54.48,77.19,79.89,2.16,Calibration,655.1666667,643.7643478,-11.40231884,-0.447419734,Pass Low,542.8333333,535.24,-7.593333333,-0.327056896,Pass Low,70.33333333,69.72,-0.613333333,-0.073293395,Pass Low,42,38.80434783,-3.195652174,-0.502755854,Pass Low
7032-1006,7032,1006,565290,322540,565600,322630,2,64,320,0.07,2548.03,27.24,2.42,20.42,56.4,,,,,,,,,,,,,,,,,,,,,
1214-1006,1214,1006,566740,322980,565600,322630,1,80,1193,0,1720,35.47,5.04,58.72,73.14,Calibration,579.3333333,544.9469565,-34.38637681,-1.450320939,Pass Low,470.3333333,435.08,-35.25333333,-1.65688262,Pass Low,69.33333333,62.88,-6.453333333,-0.793709299,Pass Low,39.66666667,46.98695652,7.320289855,1.112115548,Pass Low
2013-1006,2013,1006,565640,322470,565600,322630,1,48,110,0.15,723.07,31.59,7.43,15.68,25.25,,,,,,,,,,,,,,,,,,,,,
5016-1008,5016,1008,562280,321750,562050,321300,1,64,497,1.3,1487.17,34.36,11.45,39.41,45.4,,,,,,,,,,,,,,,,,,,,,
1228-1008,1228,1008,562000,321020,562050,321300,1,64,303,4.03,625.32,95.31,64.48,81.53,13.38,Calibration,571.0416667,567.2426087,-3.799057971,-0.159244907,Pass Low,483.9738606,472.06,-11.91386062,-0.544917651,Pass Low,79.60947272,77.7,-1.909472716,-0.215303464,Pass Low,7.458333333,17.4826087,10.02427536,2.838648113,Pass Low
1213-1008,1213,1008,561620,321450,562050,321300,1,30,465,2.41,642.68,52,31.88,87.68,19.09,,,,,,,,,,,,,,,,,,,,,
2120-1009,2120,1009,563920,321690,563850,321370,1,48,333,0.01,1720,24.05,3.17,28.15,42.59,,,,,,,,,,,,,,,,,,,,,
7047-1009,7047,1009,563850,321260,563850,321370,1,48,108,0,1889.59,31.43,1.39,9.49,40.97,,,,,,,,,,,,,,,,,,,,,
2119-1009,2119,1009,563680,321470,563850,321370,1,30,195,0.04,434.61,11.05,9.17,32.57,21.55,,,,,,,,,,,,,,,,,,,,,
1217-1010,1217,1010,566770,322950,566290,322150,1,96,934,0,1900,55.71,8.3,43.32,77.62,,,,,,,,,,,,,,,,,,,,,
7014-1010,7014,1010,565360,320260,566290,322150,1,96,2111,0,1500,69.41,17.99,97.15,78.22,Calibration,1004.5,948.9978261,-55.50217391,-1.775900075,Pass Mid,815.3333333,779.05,-36.28333333,-1.285067096,Pass Mid,120.6666667,111.4,-9.266666667,-0.860264808,Pass Low,68.5,58.54782609,-9.952173913,-1.248674766,Pass Low
1029-1011,1029,1011,561850,320710,561920,320660,2,48,86,3.71,1130.93,55.92,24.68,31.13,9.95,Validation,604.3333333,600.6926087,-3.640724638,-0.148321679,Pass Low,510.5,493.05,-17.45,-0.779006213,Pass Low,85.5,87.86,2.36,0.253485167,Pass Low,8.333333333,19.7826087,11.44927536,3.053631864,Pass Low
1139-1011,1139,1011,561980,320690,561920,320660,1,32,64,0.73,471.03,22.65,29.66,36.86,6.25,Validation,124.3333333,98.68,-25.65333333,-2.429368453,Pass Low,106.5,91.74,-14.76,-1.48253758,Pass Low,15.16666667,6.94,-8.226666667,-2.474441934,Pass Low,2.666666667,0,-2.666666667,-2.309401077,Pass Low
1014-1011,1014,1011,561940,320530,561920,320660,1,48,132,2.14,1365.14,44.94,14.94,24.84,19.13,Validation,643.1666667,580.6469565,-62.51971014,-2.527401926,Pass Low,554,483.12,-70.88,-3.112606371,Pass Low,79.66666667,79.94,0.273333333,0.030597228,Pass Low,9.5,17.58695652,8.086956522,2.197455053,Pass Low
7048-1013,7048,1013,563590,320730,563620,320760,1,48,37,0.04,2319.96,20.34,1.71,4.48,29.71,,,,,,,,,,,,,,,,,,,,,
5003-1013,5003,1013,563550,320870,563620,320760,1,30,130,0.02,444.83,7.03,8.72,24.32,19.24,,,,,,,,,,,,,,,,,,,,,
7047-1013,7047,1013,563850,321260,563620,320760,1,48,562,0,1428.22,38.68,5.69,47.84,42.29,Calibration,504.9583333,536.3365217,31.37818841,1.375168776,Pass Low,431.3195574,455.11,23.79044261,1.130044134,Pass Low,70.94829975,73.47,2.521700247,0.296754522,Pass Low,2.69047619,7.756521739,5.066045549,2.216605128,Pass Low
2032-1013,2032,1013,563860,320760,563620,320760,1,32,245,0.33,660,20.88,14.06,41.62,21.19,,,,,,,,,,,,,,,,,,,,,
1034-1014,1034,1014,562020,320400,561940,320530,1,48,163,1.11,1069.65,33.21,13.72,25.95,22.61,,,,,,,,,,,,,,,,,,,,,
