Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
5016-1001,5016,1001,56228,32175,56268,32206,1,64,545,0,1720,44.1,2.13,32.79,59.84,758.44,759.74,31,2,309.54,0.56,31.38,2.01,6.42,287.79,18.83,24.91,66.7,8.3,0.010943516,310.07,0.56,31.44,2.02,6.44,288.29,18.86,24.95,66.81,8.31,1.093795246,681.44,66.7,3.608695652,681.44,66.7,8.3,682.63,66.81,3.613043478,682.63,66.81,8.31,1,2,PM,"LineString (56228 32175, 56268 32206)"
7036-1001,7036,1001,56320,32219,56268,32206,1,64,542,0,1720,22.45,0.16,30.65,63.66,386.2,386.51,31,6,98.27,9.05,3.06,15.1,12.64,17.64,121.41,39.36,35.9,27.8,0.071983428,98.35,9.05,3.06,15.11,12.65,17.65,121.5,39.39,35.92,27.82,7.197743913,316.53,35.9,12.08695652,316.53,35.9,27.8,316.76,35.92,12.09565217,316.76,35.92,27.82,3,6,PM,"LineString (56320 32219, 56268 32206)"
7036-1002,7036,1002,56320,32219,56332,32221,2,64,121,2.97,2202.91,34.43,15.31,22.12,19.7,758.44,759.74,0,2,309.54,0.56,31.38,2.01,6.42,287.79,18.83,24.91,66.7,8.3,0.010943516,310.07,0.56,31.44,2.02,6.44,288.29,18.86,24.95,66.81,8.31,1.093795246,681.44,66.7,3.608695652,681.44,66.7,8.3,682.63,66.81,3.613043478,682.63,66.81,8.31,1,2,PM,"LineString (56320 32219, 56332 32221)"
7037-1002,7037,1002,56346,32224,56332,32221,2,64,150,2.9,1087.16,43.86,24.81,33.25,16.24,476.8,477.22,0,5.99,133.4,13.3,3.76,17.18,13.98,27.64,141.82,44.31,48.69,26.73,0.056061242,133.52,13.32,3.76,17.19,13.99,27.66,141.95,44.35,48.73,26.76,5.607476636,395.39,48.69,11.62173913,395.39,48.69,26.73,395.74,48.73,11.63478261,395.74,48.73,26.76,2.995,5.99,PM,"LineString (56346 32224, 56332 32221)"
4007-1002,4007,1002,56331,32209,56332,32221,1,30,132,1.96,860.08,42,21.95,37.79,12.57,361.19,361.26,0,0,114.82,0.39,18.74,1.95,4.73,143.67,17.42,15.77,37.29,6.42,0.017774578,114.84,0.39,18.74,1.95,4.73,143.7,17.42,15.78,37.29,6.42,1.777113436,317.49,37.29,2.791304348,317.49,37.29,6.42,317.55,37.29,2.791304348,317.55,37.29,6.42,0,0,PM,"LineString (56331 32209, 56332 32221)"
7045-1003,7045,1003,56405,32233,56415,32236,1,64,102,0.03,2472.79,37.71,1.8,7.54,48.69,932.37,933.5,0,2,358.56,0.17,45.86,0.9,5.29,397.13,9.23,20.3,85.22,7.72,0.008279975,358.99,0.17,45.92,0.9,5.3,397.61,9.24,20.32,85.32,7.73,0.828066417,837.44,85.22,3.356521739,837.44,85.22,7.72,838.45,85.32,3.360869565,838.45,85.32,7.73,1,2,PM,"LineString (56405 32233, 56415 32236)"
2789-1003,2789,1003,56429,32241,56415,32236,1,64,140,0,1874.91,22.5,1.24,9.11,55.3,421.87,422.25,0,5.99,110.13,13.18,3.54,14.92,10.91,27.57,131.77,37.83,43.61,22.41,0.05312063,110.23,13.2,3.55,14.93,10.92,27.6,131.89,37.86,43.65,22.43,5.312018946,349.85,43.61,9.743478261,349.85,43.61,22.41,350.18,43.65,9.752173913,350.18,43.65,22.43,2.995,5.99,PM,"LineString (56429 32241, 56415 32236)"
7506-1003,7506,1003,56418,32209,56415,32236,1,48,290,0.06,1559.47,8.14,2.59,24.34,42.9,126.89,127.01,0,0,51.22,0.88,3.97,3.17,3.48,26.4,19.66,7.63,6.1,4.38,0.034518087,51.26,0.88,3.97,3.18,3.48,26.43,19.68,7.64,6.11,4.39,3.456420754,116.41,6.1,1.904347826,116.41,6.1,4.38,116.52,6.11,1.908695652,116.52,6.11,4.39,0,0,PM,"LineString (56418 32209, 56415 32236)"
2014-1004,2014,1004,56419,32204,56416,32201,2,48,40,0.04,2855.89,18.89,2.04,5.04,28.59,539.46,539.85,0,4,143.35,12.1,7.74,17.57,9.44,66.74,175.88,37.31,60.79,4.54,0.008415823,143.46,12.11,7.75,17.59,9.45,66.78,176.01,37.34,60.83,4.54,0.840974345,470.13,60.79,1.973913043,470.13,60.79,4.54,470.49,60.83,1.973913043,470.49,60.83,4.54,2,4,PM,"LineString (56419 32204, 56416 32201)"
2120-1004,2120,1004,56392,32169,56416,32201,1,48,394,0,1720,41.56,6.09,35.64,39.8,714.8,715.63,43,7.99,261.91,0.51,30.34,2.85,5.4,284.28,21.18,19.26,75.29,5.77,0.008072188,262.22,0.51,30.38,2.86,5.41,284.61,21.2,19.28,75.38,5.78,0.807679946,625.73,75.29,2.508695652,625.73,75.29,5.77,626.47,75.38,2.513043478,626.47,75.38,5.78,3.995,7.99,PM,"LineString (56392 32169, 56416 32201)"
