Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: Inter_peak
purpose: IB_HBO
level: 3
zone_count: 120
matrix_sum: 111865.0
interzonal_sum: 109310.0
intrazonal_sum: 2555.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_IB_HBO_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1,0,525527,177728,south_east,,3,outside,outside,False,1,4549.0,5155.0,155.0
2,1,319326,213614,south_west_and_wales,,2,outside,outside,False,2,196.0,405.0,0.0
3,2,404480,482143,north_and_scotland,,1,outside,outside,False,3,211.0,384.0,0.0
4,3,480247,337072,east_midlands,,2,outside,outside,False,4,1261.0,2051.0,13.0
5,4,528496,267268,cam_pet_bed,,3,outside,outside,False,5,4361.0,3403.0,490.0
6,5,531214,179650,london,,4,outside,outside,False,6,349.0,373.0,0.0
7,6,642388,284397,beccles,,3,outside,outside,False,7,2348.0,2708.0,262.0
8,7,653108,293170,lowestoft,,3,outside,outside,False,8,2168.0,2913.0,12.0
9,8,572760,276319,mildenhall,,3,outside,outside,False,9,1261.0,1153.0,25.0
1001,9,601655,320487,Breckland 001,E02005503,8,outside,outside,False,1001,714.0,1052.0,36.0
1002,10,586690,317550,Breckland 002,E02005504,8,outside,outside,False,1002,680.0,1203.0,69.0
1003,11,600256,314009,Breckland 003,E02005505,8,outside,outside,False,1003,509.0,777.0,33.0
1004,12,592600,312643,Breckland 004,E02005506,8,outside,outside,False,1004,298.0,716.0,23.0
1005,13,599301,311976,Breckland 005,E02005507,8,outside,outside,False,1005,2477.0,1085.0,7.0
1006,14,603084,308828,Breckland 006,E02005508,9,outside,outside,False,1006,419.0,929.0,15.0
1007,15,581189,308735,Breckland 007,E02005509,8,outside,outside,False,1007,771.0,890.0,4.0
1008,16,591391,306338,Breckland 008,E02005510,9,outside,outside,False,1008,295.0,867.0,16.0
1009,17,592005,300611,Breckland 009,E02005511,9,outside,outside,False,1009,648.0,752.0,2.0
1010,18,595155,295895,Breckland 010,E02005512,9,outside,outside,False,1010,575.0,1137.0,37.0
1011,19,603998,295067,Breckland 011,E02005513,9,outside,outside,False,1011,938.0,1029.0,3.0
1012,20,581682,297063,Breckland 012,E02005514,9,outside,outside,False,1012,432.0,906.0,24.0
1013,21,604853,290790,Breckland 013,E02005515,9,outside,outside,False,1013,449.0,727.0,6.0
1014,22,597539,284128,Breckland 014,E02005516,9,outside,outside,False,1014,533.0,858.0,23.0
1015,23,585826,285759,Breckland 015,E02005517,9,outside,outside,False,1015,1138.0,403.0,0.0
1016,24,587791,283588,Breckland 016,E02005518,9,outside,outside,False,1016,882.0,693.0,1.0
1017,25,584480,283022,Breckland 017,E02005519,9,outside,outside,False,1017,722.0,582.0,5.0
1018,26,618363,326863,Broadland 001,E02005520,13,outside,outside,True,1018,901.0,1106.0,22.0
1019,27,610716,321553,Broadland 002,E02005521,13,outside,outside,True,1019,953.0,1201.0,18.0
1020,28,625306,320263,Broadland 003,E02005522,14,outside,outside,True,1020,405.0,821.0,7.0
1021,29,619690,318749,Broadland 004,E02005523,13,outside,outside,True,1021,720.0,1191.0,26.0
1022,30,623390,315202,Broadland 005,E02005524,14,outside,outside,True,1022,193.0,689.0,1.0
1023,31,615911,314230,Broadland 006,E02005525,13,outside,outside,True,1023,563.0,1334.0,5.0
1024,32,618206,313913,Broadland 007,E02005526,13,outside,outside,True,1024,483.0,699.0,5.0
1025,33,629373,314134,Broadland 008,E02005527,14,outside,outside,True,1025,813.0,1178.0,16.0
1026,34,623554,312619,Broadland 009,E02005528,14,inside,inside,True,1026,314.0,840.0,3.0
1027,35,620077,312145,Broadland 010,E02005529,13,inside,inside,True,1027,929.0,649.0,10.0
1028,36,621149,311920,Broadland 011,E02005530,13,inside,inside,True,1028,626.0,514.0,1.0
1029,37,625170,312679,Broadland 012,E02005531,14,inside,inside,True,1029,282.0,611.0,4.0
1030,38,625986,311747,Broadland 013,E02005532,14,inside,inside,True,1030,1150.0,829.0,4.0
1031,39,635720,312415,Broadland 014,E02005533,14,outside,outside,True,1031,493.0,1371.0,11.0
1032,40,626485,309865,Broadland 015,E02005534,14,inside,inside,True,1032,342.0,734.0,1.0
1033,41,627178,309109,Broadland 016,E02005535,14,outside,inside,True,1033,995.0,646.0,6.0
1034,42,635061,306298,Broadland 017,E02005536,14,outside,outside,True,1034,1042.0,884.0,20.0
1035,43,642604,306812,Broadland 018,E02005537,14,outside,outside,True,1035,421.0,806.0,25.0
1036,44,648713,317534,Great Yarmouth 001,E02005538,7,outside,outside,False,1036,393.0,1206.0,1.0
1037,45,644892,314015,Great Yarmouth 002,E02005539,7,outside,outside,False,1037,586.0,928.0,13.0
1038,46,651250,311760,Great Yarmouth 003,E02005540,7,outside,outside,False,1038,322.0,785.0,4.0
1039,47,652799,309688,Great Yarmouth 004,E02005541,7,outside,outside,False,1039,271.0,363.0,1.0
1040,48,650284,308151,Great Yarmouth 005,E02005542,7,outside,outside,False,1040,1196.0,451.0,4.0
1041,49,652980,306021,Great Yarmouth 006,E02005543,7,outside,outside,False,1041,918.0,473.0,0.0
1042,50,651693,306612,Great Yarmouth 007,E02005544,7,outside,outside,False,1042,1301.0,399.0,2.0
1043,51,650505,305618,Great Yarmouth 008,E02005545,7,outside,outside,False,1043,909.0,456.0,1.0
