Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: PM_peak_hr
purpose: IB_HBO
level: 3
zone_count: 120
matrix_sum: 20867.0
interzonal_sum: 20325.0
intrazonal_sum: 542.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_IB_HBO_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1,0,525527,177728,south_east,,3,outside,outside,False,1,1319.0,831.0,37.0
2,1,319326,213614,south_west_and_wales,,2,outside,outside,False,2,72.0,35.0,0.0
3,2,404480,482143,north_and_scotland,,1,outside,outside,False,3,57.0,34.0,0.0
4,3,480247,337072,east_midlands,,2,outside,outside,False,4,328.0,298.0,4.0
5,4,528496,267268,cam_pet_bed,,3,outside,outside,False,5,1084.0,618.0,120.0
6,5,531214,179650,london,,4,outside,outside,False,6,120.0,44.0,0.0
7,6,642388,284397,beccles,,3,outside,outside,False,7,432.0,514.0,49.0
8,7,653108,293170,lowestoft,,3,outside,outside,False,8,343.0,498.0,3.0
9,8,572760,276319,mildenhall,,3,outside,outside,False,9,283.0,195.0,5.0
1001,9,601655,320487,Breckland 001,E02005503,8,outside,outside,False,1001,129.0,208.0,5.0
1002,10,586690,317550,Breckland 002,E02005504,8,outside,outside,False,1002,127.0,237.0,11.0
1003,11,600256,314009,Breckland 003,E02005505,8,outside,outside,False,1003,81.0,144.0,3.0
1004,12,592600,312643,Breckland 004,E02005506,8,outside,outside,False,1004,62.0,146.0,3.0
1005,13,599301,311976,Breckland 005,E02005507,8,outside,outside,False,1005,405.0,232.0,3.0
1006,14,603084,308828,Breckland 006,E02005508,9,outside,outside,False,1006,92.0,171.0,2.0
1007,15,581189,308735,Breckland 007,E02005509,8,outside,outside,False,1007,142.0,174.0,1.0
1008,16,591391,306338,Breckland 008,E02005510,9,outside,outside,False,1008,61.0,167.0,3.0
1009,17,592005,300611,Breckland 009,E02005511,9,outside,outside,False,1009,126.0,130.0,0.0
1010,18,595155,295895,Breckland 010,E02005512,9,outside,outside,False,1010,111.0,235.0,6.0
1011,19,603998,295067,Breckland 011,E02005513,9,outside,outside,False,1011,197.0,204.0,1.0
1012,20,581682,297063,Breckland 012,E02005514,9,outside,outside,False,1012,71.0,213.0,5.0
1013,21,604853,290790,Breckland 013,E02005515,9,outside,outside,False,1013,97.0,157.0,2.0
1014,22,597539,284128,Breckland 014,E02005516,9,outside,outside,False,1014,106.0,182.0,3.0
1015,23,585826,285759,Breckland 015,E02005517,9,outside,outside,False,1015,194.0,83.0,0.0
1016,24,587791,283588,Breckland 016,E02005518,9,outside,outside,False,1016,145.0,162.0,0.0
1017,25,584480,283022,Breckland 017,E02005519,9,outside,outside,False,1017,115.0,123.0,1.0
1018,26,618363,326863,Broadland 001,E02005520,13,outside,outside,True,1018,150.0,226.0,3.0
1019,27,610716,321553,Broadland 002,E02005521,13,outside,outside,True,1019,202.0,249.0,3.0
1020,28,625306,320263,Broadland 003,E02005522,14,outside,outside,True,1020,76.0,153.0,1.0
1021,29,619690,318749,Broadland 004,E02005523,13,outside,outside,True,1021,146.0,224.0,5.0
1022,30,623390,315202,Broadland 005,E02005524,14,outside,outside,True,1022,35.0,112.0,0.0
1023,31,615911,314230,Broadland 006,E02005525,13,outside,outside,True,1023,106.0,234.0,0.0
1024,32,618206,313913,Broadland 007,E02005526,13,outside,outside,True,1024,89.0,131.0,1.0
1025,33,629373,314134,Broadland 008,E02005527,14,outside,outside,True,1025,129.0,212.0,2.0
1026,34,623554,312619,Broadland 009,E02005528,14,inside,inside,True,1026,65.0,142.0,1.0
1027,35,620077,312145,Broadland 010,E02005529,13,inside,inside,True,1027,172.0,118.0,3.0
1028,36,621149,311920,Broadland 011,E02005530,13,inside,inside,True,1028,124.0,88.0,0.0
1029,37,625170,312679,Broadland 012,E02005531,14,inside,inside,True,1029,51.0,118.0,1.0
1030,38,625986,311747,Broadland 013,E02005532,14,inside,inside,True,1030,193.0,138.0,1.0
1031,39,635720,312415,Broadland 014,E02005533,14,outside,outside,True,1031,90.0,241.0,2.0
1032,40,626485,309865,Broadland 015,E02005534,14,inside,inside,True,1032,65.0,142.0,0.0
1033,41,627178,309109,Broadland 016,E02005535,14,outside,inside,True,1033,186.0,121.0,2.0
1034,42,635061,306298,Broadland 017,E02005536,14,outside,outside,True,1034,204.0,181.0,4.0
1035,43,642604,306812,Broadland 018,E02005537,14,outside,outside,True,1035,77.0,159.0,3.0
