1,0.00,0.00,1.83,0.00,4.56,0.00,0.92,0.00,0.00,0.00,0.91,0.92,1.83
2,0.00,5846.86,20.40,0.71,203.65,1.49,0.89,1.70,3.33,2.59,1.18,0.00,2.63
3,2.73,33.94,13251.45,47.11,515.48,8.05,877.42,7.69,430.97,391.42,21.91,215.70,252.71
4,0.00,0.00,0.73,0.00,0.45,0.00,0.00,0.00,0.45,0.01,0.00,0.90,0.92
5,0.92,142.88,1015.05,1.97,8801.27,132.50,0.95,160.91,121.94,3.37,8.62,1.34,10.22
6,3.60,5.41,21.36,0.00,125.21,2326.81,130.43,38.02,105.64,19.86,345.21,207.64,586.62
7,0.00,0.87,527.28,0.92,0.00,95.35,0.00,0.00,20.78,25.25,27.21,172.48,180.25
8,0.00,0.55,16.86,0.00,200.92,32.02,0.00,339.03,201.31,2.38,26.32,6.55,27.22
9,0.00,2.73,858.36,2.25,127.43,83.62,14.25,144.67,7747.26,352.65,274.37,183.13,1269.29
11,0.00,0.78,453.57,0.90,2.41,16.84,25.72,1.59,483.42,0.00,110.91,179.21,1052.42
13,0.00,2.62,28.27,0.92,19.00,300.20,16.46,12.96,560.74,110.78,952.30,445.28,1808.55
14,0.00,0.87,208.61,0.92,1.40,123.25,275.52,1.88,211.76,114.41,309.09,0.00,1621.01
16,0.00,0.84,75.80,2.75,9.55,91.79,91.06,2.71,608.87,207.63,448.72,606.35,0.00
1,0.00,0.00,2.53,0.00,1.33,0.16,0.47,0.23,1.10,0.23,0.16,0.40,0.82
2,0.00,872.57,9.90,0.25,37.24,2.59,1.03,0.97,6.88,0.86,2.93,3.16,3.65
3,1.86,9.84,1916.22,11.40,102.18,8.59,50.59,3.05,98.41,61.83,11.11,50.05,44.36
4,0.12,0.12,1.47,0.00,0.98,0.33,0.00,0.11,1.74,0.79,0.66,0.57,1.23
5,1.79,39.27,155.86,2.40,1202.42,11.82,0.91,17.57,30.10,1.17,3.78,1.50,6.25
6,1.50,5.01,16.02,1.60,12.83,310.47,11.33,3.71,14.71,2.72,58.81,36.76,37.94
7,0.50,2.28,68.93,1.91,0.77,12.92,0.00,0.10,5.70,3.88,5.36,52.38,20.84
8,0.09,0.91,3.89,0.47,21.08,1.22,0.26,67.25,16.68,0.20,4.87,0.63,2.66
9,1.43,6.76,91.46,3.73,20.45,7.55,2.56,8.97,1148.68,35.75,43.98,23.27,76.24
11,0.76,2.12,74.95,1.75,1.73,2.58,3.49,0.44,64.39,0.00,12.63,27.76,69.01
13,0.94,3.31,16.73,1.10,4.75,35.37,4.08,3.11,56.12,8.44,136.79,54.12,113.09
14,0.34,1.56,32.38,1.53,1.68,15.13,16.27,0.46,22.27,14.91,31.58,0.00,77.87
16,0.46,1.24,11.08,1.03,2.29,6.28,2.89,0.33,26.25,12.17,33.50,37.15,0.00
1,0.00,0.00,9.06,0.00,6.22,1.34,3.32,1.28,4.22,1.29,0.60,1.12,5.21
2,0.00,3508.18,45.87,0.89,194.32,18.54,8.80,5.82,25.86,4.51,10.13,8.39,22.08
3,7.71,48.07,7315.22,28.72,492.23,64.14,388.54,21.15,327.45,347.23,40.79,128.14,272.19
4,0.63,0.63,4.89,0.00,5.05,2.69,0.00,0.64,6.60,4.52,2.40,1.70,7.84
5,8.13,170.09,677.74,11.98,5982.23,110.35,7.45,93.74,113.69,6.45,14.51,4.57,41.43
6,8.28,30.26,98.51,8.95,112.10,1672.73,112.82,29.04,90.42,17.85,251.02,120.95,291.97
7,2.50,12.68,364.86,9.42,3.76,93.31,0.00,0.66,23.85,22.01,19.76,144.01,135.28
8,0.67,5.89,26.30,2.57,113.87,12.56,2.82,468.29,100.71,1.33,19.40,2.34,21.64
9,7.63,36.99,485.50,18.24,110.36,69.53,22.48,67.78,5213.38,192.69,168.20,65.22,488.46
