1,0.00,0.00,0.95,0.16,1.42,1.58,0.47,0.00,0.16,0.00,0.32,0.47,0.47
2,0.00,1410.25,12.19,0.00,53.14,4.78,2.17,0.74,2.45,1.30,0.74,0.31,0.93
3,1.60,8.61,3346.59,1.67,260.65,11.01,223.50,6.10,217.22,93.54,15.07,53.34,42.42
4,0.00,0.13,3.02,0.00,1.22,0.63,0.63,0.10,1.93,0.42,0.32,0.63,1.26
5,1.90,60.80,214.83,1.58,2507.14,41.74,0.98,49.96,46.85,1.20,6.13,1.11,5.40
6,1.26,4.76,15.92,1.73,52.75,625.10,41.91,9.30,31.25,5.51,77.02,40.64,74.91
7,0.63,2.35,228.70,0.79,1.02,38.94,0.00,0.27,9.26,7.26,15.31,65.51,30.43
8,0.00,0.70,4.16,0.32,39.95,11.31,0.00,102.03,47.76,0.43,7.03,1.17,3.86
9,0.63,2.19,162.79,1.08,34.32,27.81,12.99,40.30,1914.33,90.54,112.92,48.77,200.20
11,0.16,0.87,95.56,0.31,1.13,5.43,17.38,1.17,86.62,0.00,32.89,40.92,135.27
13,0.63,0.70,13.23,0.32,4.92,72.40,17.79,7.97,103.31,25.27,245.01,94.49,311.51
14,0.16,1.23,64.58,0.47,1.23,47.04,58.30,1.36,44.75,36.13,103.47,0.00,257.90
16,0.32,2.30,66.71,1.42,4.10,119.70,55.16,6.17,257.40,173.02,370.47,303.47,0.00
1,0.00,0.01,0.73,0.01,0.78,0.33,0.29,0.08,0.57,0.14,0.22,0.27,0.19
2,0.00,425.59,4.12,0.12,16.34,1.97,1.06,0.36,2.29,0.58,0.83,0.72,0.66
3,1.44,4.31,917.38,2.94,50.56,4.44,30.74,1.10,32.93,23.43,4.57,13.49,8.47
4,0.04,0.16,3.14,0.00,0.62,0.37,0.36,0.08,1.07,0.28,0.31,0.39,0.45
5,0.94,16.02,47.98,0.67,572.39,4.32,0.32,7.68,7.94,0.51,1.45,0.74,0.98
6,0.40,2.04,4.80,0.49,4.41,141.02,4.88,0.61,3.88,0.98,15.04,9.34,7.33
7,0.24,1.02,31.71,0.44,0.21,4.94,0.00,0.06,1.70,1.37,1.68,11.92,3.59
8,0.08,0.35,1.17,0.10,8.59,1.09,0.07,32.46,3.68,0.11,0.99,0.17,0.44
9,0.60,2.34,31.61,0.98,7.60,3.64,1.71,4.32,552.85,14.00,16.86,7.22,16.92
11,0.15,0.61,24.45,0.36,0.43,0.90,1.32,0.10,14.55,0.00,3.51,6.48,13.72
13,0.26,0.94,4.55,0.33,1.18,14.80,1.61,1.03,16.36,3.47,65.16,16.71,28.49
14,0.26,0.86,13.38,0.44,0.47,9.28,11.69,0.16,7.13,6.19,16.46,0.00,24.63
16,0.28,0.89,8.76,0.50,0.87,7.31,3.74,0.42,18.07,13.58,28.71,25.97,0.00
1,0.00,0.12,9.03,0.12,14.12,7.86,6.12,1.59,9.32,2.32,3.12,3.70,6.08
2,0.00,4623.14,67.49,1.41,263.47,46.96,22.99,7.43,36.21,9.61,11.40,9.68,20.46
3,14.90,72.55,9614.18,23.61,767.94,111.11,646.12,25.57,511.33,427.30,67.28,185.92,275.50
4,0.73,1.63,24.51,0.00,11.69,8.72,7.71,1.59,16.15,4.87,4.32,5.26,13.89
5,16.79,266.44,755.02,12.53,7578.73,148.62,7.38,134.31,123.82,8.15,21.82,9.96,34.81
6,8.97,45.91,113.50,11.19,144.76,2399.25,135.74,18.54,100.83,21.70,284.22,167.79,303.59
7,4.89,21.13,648.92,8.92,4.40,138.22,0.00,1.61,33.20,28.73,29.36,198.89,139.62
8,1.71,7.19,26.25,1.83,143.41,35.05,1.98,524.08,91.98,2.22,15.69,2.65,18.18
9,10.04,38.85,507.79,15.31,120.96,102.43,35.83,105.94,7041.18,230.75,265.91,99.70,549.02
11,2.55,10.07,433.27,5.81,7.03,20.65,27.97,1.97,222.09,0.00,51.49,89.35,389.29
13,3.60,12.95,65.70,4.31,19.09,278.93,28.26,16.20,243.54,49.95,629.12,191.18,718.19
14,3.58,11.94,186.47,5.98,6.97,172.86,202.19,2.65,95.45,87.77,197.50,0.00,627.15
16,8.54,26.96,275.99,14.34,32.03,301.78,145.03,16.76,549.55,401.20,734.63,637.90,0.00
1,0.00,0.00,1.15,0.00,2.48,0.92,0.65,0.13,0.92,0.13,0.26,0.39,1.05
2,0.00,416.27,8.12,0.35,20.53,3.40,1.64,0.45,4.35,1.14,0.67,1.36,2.97
3,1.05,6.06,862.58,5.33,108.73,7.92,64.23,3.17,89.19,66.90,9.71,28.43,39.75
4,0.13,0.09,0.26,0.00,0.50,0.65,0.65,0.10,0.82,0.27,0.26,0.26,2.88
5,2.22,19.60,108.19,0.44,597.43,30.06,0.34,21.63,23.71,1.22,3.50,0.93,4.08
6,0.65,3.49,8.52,0.39,30.74,243.87,14.91,4.95,12.51,3.93,44.77,24.61,40.24
7,0.78,1.13,63.64,0.92,0.38,15.22,0.00,0.23,4.49,5.08,5.81,22.92,26.80
8,0.26,0.51,3.31,0.07,20.61,4.14,0.12,13.59,15.54,0.07,2.55,0.38,2.44
9,1.83,4.44,83.32,0.58,21.35,9.58,5.80,14.53,669.36,48.24,46.50,20.46,117.13
11,0.26,1.21,65.67,0.17,0.70,4.36,3.77,0.34,50.62,0.00,12.21,19.19,69.31
13,0.26,1.18,9.51,0.78,3.49,40.54,6.21,2.45,46.97,12.15,64.82,31.10,81.58
14,0.13,1.76,26.11,0.78,0.45,23.69,21.74,0.06,21.33,19.07,31.33,0.00,123.60
16,1.57,3.83,38.07,1.96,3.38,36.12,24.93,2.03,119.07,65.80,76.60,124.25,0.00
1,0.00,0.00,7.71,0.23,7.46,3.17,2.49,1.24,4.97,0.80,0.90,1.12,3.50
2,0.11,879.47,30.14,0.86,82.74,20.44,12.63,3.79,20.59,4.22,4.98,6.08,11.39
3,3.62,19.36,1829.69,18.84,177.55,42.14,158.49,11.84,160.42,117.69,20.13,52.66,82.01
4,0.45,0.40,1.60,0.00,2.67,1.70,2.15,0.69,5.61,1.64,1.24,1.24,6.10
5,8.37,84.75,184.46,3.01,1566.90,142.62,3.63,37.24,30.81,3.46,9.05,3.18,10.73
6,2.60,18.61,43.62,2.03,134.19,810.16,65.77,14.54,27.08,8.15,107.08,58.51,64.15
7,1.81,7.49,152.35,1.58,2.73,68.01,0.00,1.05,12.92,8.20,10.44,53.25,39.89
8,0.90,3.52,9.89,0.52,36.81,16.68,1.38,59.72,17.84,0.97,4.31,1.48,3.98
9,5.20,21.10,151.72,4.83,34.40,28.81,15.31,19.29,1295.51,46.42,47.21,26.54,128.97
11,0.80,4.10,109.92,1.56,2.45,8.60,8.30,0.49,52.52,0.00,11.37,19.01,74.19
13,1.81,5.71,21.20,1.13,9.22,104.46,9.21,3.96,46.80,11.51,105.84,32.83,85.53
14,1.35,6.20,51.63,1.80,2.57,57.76,54.45,1.43,25.98,20.47,32.18,0.00,113.07
16,4.07,13.73,84.54,8.37,11.51,63.32,42.11,4.57,129.64,63.38,83.08,112.17,0.00
1,0.00,0.00,0.77,0.06,2.25,1.04,0.69,0.24,1.12,0.17,0.28,0.38,0.99
2,0.02,2.06,12.96,0.16,92.32,10.63,3.18,2.97,13.07,1.94,2.10,1.74,3.58
3,1.11,11.22,182.97,0.48,160.88,29.42,70.58,8.17,149.99,71.30,24.42,32.63,67.84
4,0.12,0.22,0.52,0.00,3.18,0.59,0.65,0.95,8.40,2.53,0.33,0.37,2.15
5,2.35,94.18,154.90,3.50,724.37,52.68,4.36,24.84,30.37,3.28,9.90,6.34,15.84
6,0.81,9.81,29.99,0.70,52.15,478.32,42.61,7.85,25.94,4.91,55.65,23.01,36.01
7,0.65,2.10,68.23,0.68,2.97,43.43,268.29,0.78,9.20,7.70,7.76,61.90,18.04
8,0.23,3.01,7.51,0.85,23.72,8.15,0.69,9.29,18.86,0.89,3.74,1.33,4.74
9,1.55,12.44,135.94,6.20,28.86,24.40,11.05,17.78,294.19,32.21,45.25,24.71,100.03
11,0.24,1.93,67.96,1.92,2.33,5.31,8.08,1.21,33.05,112.79,9.54,16.32,45.67
13,0.46,2.71,23.38,0.50,9.05,53.08,7.60,3.41,43.76,8.78,125.76,31.40,144.62
14,0.28,2.04,31.93,0.62,3.93,23.04,60.51,0.80,24.75,16.25,32.01,109.82,82.56
16,1.24,4.62,69.78,2.19,15.01,37.54,19.25,4.57,104.11,47.20,150.84,85.96,397.82
1,0.00,0.00,6.71,0.96,23.00,3.83,0.96,2.88,12.46,0.96,2.88,4.79,3.83
2,0.00,3.83,57.50,0.96,125.54,20.12,5.75,5.75,65.17,15.37,12.46,9.55,20.13
3,10.54,49.83,199.33,2.87,226.17,38.33,66.12,19.17,313.37,131.52,33.54,63.02,93.92
4,0.00,2.88,2.88,0.00,9.58,1.92,1.92,0.00,14.38,4.81,1.92,1.90,4.79
5,26.83,128.42,215.62,8.63,195.50,41.21,2.87,15.33,46.00,6.76,17.25,8.58,14.38
6,3.83,19.17,49.83,0.96,45.04,124.58,18.21,5.75,25.88,3.85,37.37,18.19,20.13
7,3.83,10.54,76.67,0.96,6.71,18.21,37.38,0.96,12.46,10.58,3.83,22.01,13.42
8,0.00,9.58,16.29,0.00,16.29,7.67,1.92,3.83,18.21,0.96,2.87,0.96,4.79
9,13.42,66.13,276.96,8.63,49.83,16.29,15.33,13.42,155.25,36.50,25.87,15.25,59.42
11,1.92,11.57,130.55,2.89,9.58,5.77,10.59,0.97,27.87,28.77,11.58,11.52,29.86
13,4.79,20.12,48.87,0.00,15.33,26.83,6.71,3.83,40.24,12.51,15.33,14.32,24.92
14,0.96,17.18,58.24,1.90,7.67,19.15,22.95,3.82,20.04,11.53,19.08,21.98,42.02
16,4.79,21.08,128.42,3.83,11.50,16.29,15.33,4.79,64.21,25.97,26.83,44.95,55.59
