Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: PM_peak_hr
purpose: IB_HBW
level: 1
zone_count: 168
matrix_sum: 31671.0
interzonal_sum: 27822.63179415187
intrazonal_sum: 3848.368205848133
Comments:
Created by disaggregate_matrix operation on the following matrix:
[
    Matrix Object
    vehicle_type: Road
    value_type: Person Trips
    time_period: PM_peak_hr
    purpose: IB_HBW
    level: 1
    zone_count: 120
    matrix_sum: 31671.0
    interzonal_sum: 31112.0
    intrazonal_sum: 559.0
    Comments:
    Created by copy operation on the following matrix:
    [
        Matrix Object
        vehicle_type: Road
        value_type: Person Trips
        time_period: PM_peak_hr
        purpose: IB_HBW
        level: 1
        zone_count: 120
        matrix_sum: 31671.0
        interzonal_sum: 31112.0
        intrazonal_sum: 559.0
        Comments:
        Created by operation <built-in function mul> (reverse: False) on
        [
            Matrix Object
            vehicle_type: Road
            value_type: Person Trips
            time_period: PM_peak_hr
            purpose: IB_HBW
            level: 1
            zone_count: 120
            matrix_sum: 31671.0
            interzonal_sum: 31112.0
            intrazonal_sum: 559.0
            Comments:
            Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_IB_HBW_Road.csv
            MND Raw Data
            
        ]
        <built-in function mul>
        [
            1.0
        ]
        
    ]
    
]
reference,index,mnd_zone,x_coord,y_coord,area_ref,sector,msoa,district,Urban city and town,Rural village,Rural hamlets and isolated dwellings,Rural town and fringe,Rural village in a sparse setting,Rural hamlets and isolated dwellings in a sparse setting,Rural town and fringe in a sparse setting,urbanrural,cordon_inner,cordon_outer,Internal,o_total,d_total,intrazonal
501,0,1059,561750,319643,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,27.906325330165746,4.6275168641628985,0.0020700559617765147
502,1,1059,561690,320428,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,2,0,0,0,0,0,0,urban,inside,inside,True,52.856562667083494,7.4987911844880095,0.006353625319320285
504,2,1059,562039,320210,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,57.08107661896804,6.0899273861902605,0.005572315443255328
505,3,1059,561794,320290,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,136.04563613536075,2.522995629848439,0.005502151409502533
506,4,1059,562225,320448,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,34.83256128213465,6.118725624162492,0.003416471577967528
509,5,1059,562487,320281,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,9.682335664387978,0.9098443309351787,0.00014121429144197008
511,6,1059,562300,319813,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,28.059351907586986,3.046313610500079,0.001370199074825973
512,7,1059,562463,319621,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,4,0,0,0,0,0,0,urban,inside,inside,True,32.09535225287303,17.821162212264174,0.005301770844514113
513,8,1057,562448,319249,E02005559,5,King's Lynn and West Norfolk 009,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,4.910309326917947,5.5561294209722085,0.0
514,9,1059,562067,319405,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,4,0,0,0,0,0,0,urban,inside,inside,True,16.045056587985698,27.62425980239443,0.007104987631268567
