Matrix Object
vehicle_type: SynthBus
value_type: Person Trips
time_period: PM_peak_hr
purpose: Commuting
level: 1
zone_count: 168
matrix_sum: 2406.80877
interzonal_sum: 1403.7743500000001
intrazonal_sum: 1003.03442
Comments:
Created by copy operation on the following matrix:
[
    Matrix Object
    vehicle_type: Bus
    value_type: Person Trips
    time_period: PM_peak_hr
    purpose: HBW
    level: 1
    zone_count: 168
    matrix_sum: 2406.80877
    interzonal_sum: 1403.7743500000001
    intrazonal_sum: 1003.03442
    Comments:
    Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\Test\synth_bus_PM_peak_hr.csv
    Matrix Object
    vehicle_type: Bus
    value_type: Person Trips
    time_period: PM_peak_hr
    purpose: HBW
    level: 1
    zone_count: 168
    matrix_sum: 2406.80877
    interzonal_sum: 1403.7743500000001
    intrazonal_sum: 1003.03442
    
]
reference,index,mnd_zone,x_coord,y_coord,area_ref,sector,msoa,district,Urban city and town,Rural village,Rural hamlets and isolated dwellings,Rural town and fringe,Rural village in a sparse setting,Rural hamlets and isolated dwellings in a sparse setting,Rural town and fringe in a sparse setting,urbanrural,cordon_inner,cordon_outer,Internal,o_total,d_total,intrazonal
501,0,1059,561750,319643,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,14.39451,2.5935499999999982,0.00077
502,1,1059,561690,320428,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,2,0,0,0,0,0,0,urban,inside,inside,True,8.23823,3.8518999999999983,0.0009
504,2,1059,562039,320210,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,77.23114,9.401780000000002,0.01283
505,3,1059,561794,320290,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,33.267709999999994,4.179749999999998,0.00251
506,4,1059,562225,320448,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,3.8010699999999997,3.062860000000001,0.00039
509,5,1059,562487,320281,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,5.23841,1.5872200000000005,0.00028
511,6,1059,562300,319813,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,1.6056,1.2726,5e-05
512,7,1059,562463,319621,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,4,0,0,0,0,0,0,urban,inside,inside,True,3.2060199999999996,8.553500000000001,0.00083
513,8,1057,562448,319249,E02005559,5,King's Lynn and West Norfolk 009,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,1.61929,4.69039,0.00021
514,9,1059,562067,319405,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,4,0,0,0,0,0,0,urban,inside,inside,True,6.76258,12.101709999999995,0.00323
515,10,1059,561955,319738,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,3,0,0,0,0,0,0,urban,inside,inside,True,17.761870000000002,10.204329999999997,0.00465
516,11,1059,561777,320012,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,105.29692999999999,8.838110000000002,0.00779
517,12,1059,562050,319953,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,9.25722,2.4070500000000017,0.00057
519,13,1057,562872,320497,E02005559,5,King's Lynn and West Norfolk 009,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,2.51671,2.9318800000000005,0.00035
520,14,1057,562703,320245,E02005559,5,King's Lynn and West Norfolk 009,Broadland ,2,0,0,0,0,0,0,urban,inside,inside,True,10.72449,8.984910000000001,0.00433
521,15,1057,562903,319527,E02005559,5,King's Lynn and West Norfolk 009,Broadland ,3,0,0,0,0,0,0,urban,inside,inside,True,4.68174,10.533960000000011,0.00186
523,16,1059,561895,319114,E02005561,5,King's Lynn and West Norfolk 011,Norwich ,1,0,0,0,0,0,0,urban,inside,inside,True,1.8307000000000002,2.9078600000000026,0.00012
524,17,1059,561891,318178,E02005561,5,King's Lynn and West Norfolk 011,Norwich ,0,0,0,0,0,0,0,rural,inside,inside,True,0.00754,0.12181000000000006,0.0
525,18,1059,561501,318455,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,4.537170000000001,2.69681,0.0003
