Matrix Object
vehicle_type: Rail
value_type: Person Trips
time_period: AM_peak_hr
purpose: HBEmp
level: 2
zone_count: 168
matrix_sum: 120.32442
interzonal_sum: 46.158199999999994
intrazonal_sum: 74.16622000000001
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\Test\synth_rail_AM_peak_hr.csv
Matrix Object
vehicle_type: Rail
value_type: Person Trips
time_period: AM_peak_hr
purpose: HBEmp
level: 2
zone_count: 168
matrix_sum: 120.32442
interzonal_sum: 46.158199999999994
intrazonal_sum: 74.16622000000001
reference,index,mnd_zone,x_coord,y_coord,area_ref,sector,msoa,district,Urban city and town,Rural village,Rural hamlets and isolated dwellings,Rural town and fringe,Rural village in a sparse setting,Rural hamlets and isolated dwellings in a sparse setting,Rural town and fringe in a sparse setting,urbanrural,cordon_inner,cordon_outer,Internal,o_total,d_total,intrazonal
501,0,1059,561750,319643,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.08044000000000001,0.8244699999999996,0.07481
502,1,1059,561690,320428,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,2,0,0,0,0,0,0,urban,inside,inside,True,0.14353000000000002,0.3352000000000002,0.06022
504,2,1059,562039,320210,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.19963,5.8749,0.1983
505,3,1059,561794,320290,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,0.09153,1.7185299999999994,0.08981
506,4,1059,562225,320448,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.13744,0.17582000000000006,0.06279
509,5,1059,562487,320281,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.07727999999999999,0.35660000000000003,0.05654
511,6,1059,562300,319813,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,0.055389999999999995,0.06339,0.01765
512,7,1059,562463,319621,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,4,0,0,0,0,0,0,urban,inside,inside,True,0.41669,0.12334,0.10823
513,8,1057,562448,319249,E02005559,5,King's Lynn and West Norfolk 009,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.21055999999999997,0.05029000000000003,0.04645
514,9,1059,562067,319405,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,4,0,0,0,0,0,0,urban,inside,inside,True,0.5292100000000001,0.32663000000000014,0.20469
