link_id,length_m,road_type
4000000013246084A,132.4125475,Slip Road
4000000013314512A,316.7529544,Mainline
4000000009380903A,291.4222053,Slip Road
4000000009618486A,49.26915535,Traffic Island Link At Junction
4000000009380904A,394.6449959,Slip Road
4000000009384630A,386.1846695,Slip Road
4000000013275017A,353.2856109,Slip Road
4000000009384634A,294.6608142,Slip Road
4000000009387988A,471.5581128,Slip Road
4000000013314523A,268.5199455,Mainline
4000000009401347A,109.5970654,Slip Road
4000000013314536A,48.87216986,Mainline
4000000013314502A,46.69783492,Slip Road
4000000013314515A,118.8258424,Slip Road
4000000013314546A,4.593969229,Mainline
4000000009401350A,430.3489683,Mainline at junction
4000000013314539A,30.26609325,Slip Road
4000000013314542A,13.00013848,Mainline
4000000009618484A,77.87073398,Slip Road
4000000013314526A,124.206968,Mainline
4000000013314527A,94.8302102,Mainline
4000000013314530A,82.61338676,Mainline
4000000013314524A,66.36569031,Slip Road
4000000013314534A,64.65805574,Slip Road
4000000009618485A,46.32275963,Traffic Island Link At Junction
4000000013307302A,98.79684512,Slip Road
4000000013314507A,211.7731497,Mainline
4000000013314533A,78.37986752,Slip Road
4000000013314505A,209.1750182,Mainline
5000005190604974A,24.95883995,Slip Road
4000000013314508A,208.1906359,Mainline
4000000013314518A,166.0313582,Mainline
4000000013314547A,4.472091235,Mainline
4000000013314514A,145.4722177,Mainline
4000000007189972A,25.7025845,At grade SRN A Road
4000000009377013A,425.6216611,Slip Road
4000000013314516A,178.4178266,Slip Road
4000000013314538A,44.83407316,Slip Road
4000000009401352A,67.25428996,Roundabout
4000000013139763A,339.6338498,Slip Road
4000000013314549A,3.660939281,Mainline
4000000013796822A,17.5121665,Mainline
5000005110489547B,263.384947,Mainline
4000000009384628A,383.3679729,Mainline
4000000009387994A,405.0266628,Slip Road
4000000009401354A,27.99343944,Roundabout
4000000009401361A,11.04527048,Roundabout
4000000013134353A,292.2227638,Mainline
4000000013134355A,61.12682891,Mainline
4000000013137325A,574.3394853,Mainline
4000000013275045A,37.73065808,Slip Road
4000000013314543A,4.585460021,Mainline
4000000013544895A,5.838611113,Slip Road
4000000013650367A,3.476985476,Mainline
4000000009377010A,477.9782417,Slip Road
4000000009380902A,271.6252968,Mainline
4000000009380907A,110.3103801,Mainline
4000000009380913A,77.27642691,Mainline
4000000009384619A,490.463873,Mainline
4000000009384621A,578.8795705,Mainline
4000000009384626A,607.4905755,Mainline
4000000009384636A,83.86219411,Mainline
4000000009401331A,606.0279328,Mainline at junction
4000000009401344A,776.4352872,Mainline at junction
4000000009401355A,49.7636693,Roundabout
4000000009401357A,47.09322326,Roundabout
4000000009401363A,18.60079568,Roundabout
4000000013139749A,378.8325342,Mainline
4000000013139761A,135.2586959,Mainline
4000000013246070A,608.9518382,Mainline
4000000013246071A,356.8096724,Mainline
4000000013275015A,370.3882957,Mainline
4000000013275043A,55.64052927,Mainline
4000000013307295A,171.5191402,Mainline
4000000013307299A,270.6473915,Mainline
4000000013307304A,75.33102756,Mainline
4000000013307307A,29.73255455,Mainline
4000000013307308A,10.63028692,Mainline
4000000013778988A,251.5394259,Slip Road
4000000006884002A,853.2740077,At grade SRN A Road
4000000006884015A,47.79830634,At grade SRN A Road
4000000006884023A,24.60663964,At grade SRN A Road
4000000006884038A,209.2770872,At grade SRN A Road
4000000006884039A,168.4242064,At grade SRN A Road
4000000006884742A,298.8673972,At grade SRN A Road
4000000006884744A,317.7016405,At grade SRN A Road
4000000006884750A,68.91559326,At grade SRN A Road
4000000006884757A,71.20001786,At grade SRN A Road
4000000006884763A,22.2022747,At grade SRN A Road
4000000006885292A,127.652416,At grade SRN A Road
4000000006910282A,183.0265775,At grade SRN A Road
4000000006910283A,120.2873253,At grade SRN A Road
4000000006913641A,1712.811638,At grade SRN A Road
4000000006913645A,358.8510428,At grade SRN A Road
4000000006913648A,118.8224579,At grade SRN A Road
4000000007102604A,2535.081215,At grade SRN A Road
4000000007102671A,1515.886524,Mainline
4000000007102820A,1275.367989,Mainline
4000000007102825A,957.1563757,Mainline
4000000007102896A,1224.332543,At grade SRN A Road
4000000007102899A,1543.642068,At grade SRN A Road
4000000007102947A,1273.374547,At grade SRN A Road
4000000007102955A,1569.182158,At grade SRN A Road
4000000007103086A,1348.289272,Mainline
4000000007103129A,953.1319563,Mainline
4000000007103231A,1305.586229,Mainline
4000000007103468A,1497.385101,Mainline
4000000007103470A,1435.933686,Mainline
4000000007103471A,1334.550204,Mainline
4000000007103524A,2013.585805,Mainline
4000000007103536A,1094.8954,Mainline
4000000007103541A,1186.16058,Mainline
4000000007103542A,711.1915583,Mainline
4000000007103635A,2281.645595,Mainline
4000000007103645A,1157.707041,Mainline
4000000007104594A,276.028843,At grade SRN A Road
4000000007104595A,535.0329473,At grade SRN A Road
4000000007104598A,242.7086575,At grade SRN A Road
4000000007104599A,188.4853781,At grade SRN A Road
4000000007104602A,49.73839227,At grade SRN A Road
4000000007104607A,21.88495732,At grade SRN A Road
4000000007104612A,25.85268081,At grade SRN A Road
4000000007106206A,1130.907435,Mainline
4000000007106217A,785.8863852,Mainline
4000000007106218A,1117.352428,Mainline
4000000007106293A,581.8461358,Mainline
4000000007106343A,824.4664927,Mainline
4000000007106345A,581.2254426,Mainline
4000000007106349A,287.8636463,Mainline
4000000007106365A,10.77029248,Mainline
4000000007106928A,93.87428252,At grade SRN A Road
4000000007106939A,21.30525855,Roundabout
4000000007106941A,19.01197247,Roundabout
4000000007106942A,21.65825992,Roundabout
4000000007106947A,13.25898795,Roundabout
4000000007107012A,828.1118882,At grade SRN A Road
4000000007107013A,335.1619194,At grade SRN A Road
4000000007107014A,203.3397291,At grade SRN A Road
4000000007107017A,135.5353235,At grade SRN A Road
4000000007107018A,129.8080429,At grade SRN A Road
4000000007107027A,20.88346607,Roundabout
4000000007107028A,24.28549552,Roundabout
4000000007107029A,17.16016261,Roundabout
4000000007107030A,27.02995457,Roundabout
4000000007107031A,23.9395077,Roundabout
4000000007107033A,12.99650662,Roundabout
4000000007107034A,13.06656748,Roundabout
4000000007107253A,104.448025,At grade SRN A Road
4000000007108359A,186.6829208,At grade SRN A Road
4000000007108361A,90.03615727,At grade SRN A Road
4000000007108362A,87.69135877,At grade SRN A Road
4000000007108363A,72.81237744,At grade SRN A Road
4000000007108374A,32.63427,At grade SRN A Road
4000000007108375A,35.38377737,At grade SRN A Road
4000000007108538A,41.62952078,At grade SRN A Road
4000000007109047A,809.2775587,At grade SRN A Road
4000000007109051A,399.4781787,At grade SRN A Road
4000000007109259A,134.5696992,At grade SRN A Road
4000000007109261A,2026.974714,At grade SRN A Road
4000000007109269A,397.0761886,At grade SRN A Road
4000000007109271A,183.3702453,At grade SRN A Road
4000000007110005A,27.169642,At grade SRN A Road
4000000007110007A,97.08339794,At grade SRN A Road
4000000007110011A,25.67983436,Roundabout
4000000007110013A,29.34645809,At grade SRN A Road
4000000007110014A,22.06364633,Roundabout
4000000007110015A,19.05517471,Roundabout
4000000007110016A,23.08764106,Roundabout
4000000007110020A,14.37154145,Roundabout
4000000007110021A,9.003813709,Roundabout
4000000007110022A,9.306949647,Roundabout
4000000007110197A,1120.374369,At grade SRN A Road
4000000007110701A,828.9068623,At grade SRN A Road
4000000007110755A,50.46727903,At grade SRN A Road
4000000007110784A,1001.330773,At grade SRN A Road
4000000007110785A,381.5630249,At grade SRN A Road
4000000007110786A,32.77045056,At grade SRN A Road
4000000007110787A,18.02724606,At grade SRN A Road
4000000007111518A,749.7211332,At grade SRN A Road
4000000007111522A,164.4269911,At grade SRN A Road
4000000007111945A,457.1217887,At grade SRN A Road
4000000007111947A,644.9980647,At grade SRN A Road
4000000007111951A,277.5045732,At grade SRN A Road
4000000007111954A,165.7825369,At grade SRN A Road
4000000007111955A,223.4361251,Slip Road
4000000007111965A,148.0835722,At grade SRN A Road
4000000007111966A,220.7888635,At grade SRN A Road
4000000007111967A,50.85133871,Roundabout
4000000007111969A,42.3072793,Roundabout
4000000007111971A,102.1689215,Slip Road
4000000007111976A,120.0775705,At grade SRN A Road
4000000007111982A,67.82008262,At grade SRN A Road
4000000007111984A,43.35829825,Roundabout
4000000007111991A,105.7524821,At grade SRN A Road
4000000007111999A,32.66969795,Roundabout
4000000007112000A,28.15614285,Roundabout
4000000007112135A,106.6720398,At grade SRN A Road
4000000007112136A,129.5970207,At grade SRN A Road
4000000007112137A,22.38716483,At grade SRN A Road
4000000007112242A,115.1637014,At grade SRN A Road
4000000007112286A,658.8328153,At grade SRN A Road
4000000007112417A,211.8174764,At grade SRN A Road
4000000007112625A,952.9622032,At grade SRN A Road
4000000007112626A,155.9513499,At grade SRN A Road
4000000007112627A,142.0476934,At grade SRN A Road
4000000007112638A,401.7517868,At grade SRN A Road
4000000007112640A,94.65402076,At grade SRN A Road
4000000007112643A,34.48474353,At grade SRN A Road
4000000007112726A,587.1451782,At grade SRN A Road
4000000007112727A,124.0233276,At grade SRN A Road
4000000007112728A,762.7179469,At grade SRN A Road
4000000007112774A,479.2560803,At grade SRN A Road
4000000007112779A,252.8695354,At grade SRN A Road
4000000007112782A,25.45364845,At grade SRN A Road
4000000007116190A,1112.980513,Mainline
4000000007116191A,163.4817472,Mainline
4000000007117614A,999.7982423,Mainline
4000000007117616A,689.0967948,Mainline
4000000007117741A,1342.404493,Mainline
4000000007117744A,383.7273093,Slip Road
4000000007117745A,335.3933535,Mainline
4000000007117746A,351.2879996,Slip Road
4000000007117748A,178.479876,Mainline
4000000007117751A,277.2047688,Slip Road
4000000007121234A,261.4410413,Mainline
4000000007121236A,382.7037083,Slip Road
4000000007121238A,366.2940028,Mainline
4000000007121243A,59.30544513,Mainline
4000000007125483A,20.33704274,Mainline
4000000007125488A,1668.021987,Mainline
4000000007125552A,317.3511974,Mainline
4000000007125553A,326.3894907,Slip Road
4000000007125557A,932.0166255,Mainline
4000000007125561A,1756.096693,Mainline
4000000007125562A,327.9479128,Mainline
4000000007125575A,253.6933433,Slip Road
4000000007125877A,840.054553,Mainline
4000000007126041A,116.203484,Mainline
4000000007126044A,467.4128096,Slip Road
4000000007128985A,279.5654794,Mainline
4000000007129291A,922.4242584,Mainline
4000000007129345A,1281.68194,Mainline
4000000007129346A,958.9794952,Mainline
4000000007129348A,60.48478502,Mainline
4000000007129453A,322.7894901,Mainline
4000000007129454A,323.7716371,Slip Road
4000000007129455A,423.3410206,Slip Road
4000000007129458A,318.0912785,Slip Road
4000000007130130A,1136.924803,Mainline
4000000007130230A,434.5380684,At grade SRN A Road
4000000007130243A,35.34096491,At grade SRN A Road
4000000007130343A,271.9225388,Slip Road
4000000007130346A,407.1840781,Mainline
4000000007130356A,478.9935402,At grade SRN A Road
4000000007130359A,537.9807035,At grade SRN A Road
4000000007130361A,578.8906031,At grade SRN A Road
4000000007130389A,184.1705043,Mainline at junction
4000000007130399A,241.3305514,At grade SRN A Road
4000000007130411A,16.50496414,Roundabout
4000000007130415A,23.9873273,Roundabout
4000000007131075A,473.5903723,Mainline
4000000007131080A,444.2887083,Mainline
4000000007131081A,641.537669,Mainline
4000000007131094A,202.5592283,Mainline
4000000007131098A,152.5597999,Mainline
4000000007131099A,190.7368179,Mainline
4000000007131107A,61.39514101,Roundabout
4000000007131109A,78.25805168,Roundabout
4000000007131112A,32.38465293,Roundabout
4000000007131122A,27.85546975,Roundabout
4000000007131123A,23.57801539,Roundabout
4000000007131125A,236.6685241,Mainline
4000000007131126A,15.45962565,Roundabout
4000000007131330A,1270.853572,Mainline
4000000007131331A,406.7737575,Mainline
4000000007131332A,44.04492708,Mainline
4000000007131818A,595.694109,Mainline
4000000007131822A,299.7236007,Mainline
4000000007131902A,692.2154444,Mainline
4000000007131903A,570.5684533,Mainline
4000000007131905A,228.0999091,Mainline
4000000007131906A,72.89806763,Mainline
4000000007131944A,594.9239209,Mainline
4000000007132057A,582.8354024,Mainline
4000000007132060A,350.842082,Mainline
4000000007132854A,618.5905934,Mainline
4000000007132855A,479.4143117,Mainline
4000000007132856A,672.3939745,Mainline
4000000007132858A,213.0682771,Mainline
4000000007132961A,276.8154337,Mainline
4000000007132962A,257.2532422,Mainline
4000000007132966A,268.3791384,Mainline
4000000007132967A,364.547069,Mainline
4000000007133057A,334.142197,Mainline
4000000007133058A,542.2918813,Mainline
4000000007133060A,258.3851135,Mainline
4000000007133067A,190.8569806,Mainline
4000000007133069A,71.42464457,Mainline
4000000007133088A,568.5979957,Mainline
4000000007133703A,250.546703,Slip Road
4000000007133704A,234.3684998,Mainline
4000000007133803A,495.5402821,Mainline
4000000007134061A,1143.098615,Mainline
4000000007134063A,920.6343181,Mainline
4000000007134067A,544.514547,Mainline
4000000007134160A,736.8067397,Mainline
4000000007150400A,31.52425639,At grade SRN A Road
4000000007152899A,84.5409631,Mainline
4000000007154782A,1064.536226,At grade SRN A Road
4000000007154784A,1096.636139,At grade SRN A Road
4000000007158295B,135.1500426,Mainline
4000000007161500A,84.8432237,At grade SRN A Road
4000000007165495A,1733.763747,Mainline
4000000007168408A,391.934828,At grade SRN A Road
4000000007169737A,29.48052524,Mainline
4000000007172061A,87.24044089,Mainline
4000000007175677A,278.5920691,At grade SRN A Road
4000000007176953A,113.1716291,At grade SRN A Road
4000000007178244A,1006.389728,Mainline
4000000007179113A,116.2838353,At grade SRN A Road
4000000007179777A,42.98482654,At grade SRN A Road
4000000007179783A,21.16787483,At grade SRN A Road
4000000007179795A,34.38379391,At grade SRN A Road
4000000007180050A,390.4174289,Slip Road
4000000007181954A,1909.425844,Mainline
4000000007181955A,613.7139702,Mainline
4000000007181956A,613.8372549,Mainline
4000000007181957A,618.9671622,Mainline
4000000007181958A,1049.204854,Mainline
4000000007181961A,256.3915378,Mainline
4000000007181964A,192.4212694,Mainline
4000000007181965A,176.7631087,Mainline
4000000007181966A,156.1214353,Mainline
4000000007181967A,153.0708931,Mainline
4000000007181968A,168.5830471,Mainline
4000000007181969A,101.0979062,Mainline
4000000007181971A,54.80058115,Mainline
4000000007181972A,65.1740329,Mainline
4000000007181973A,46.25700422,Mainline
4000000007181975B,61.26490951,Mainline
4000000007181975A,61.26490951,Mainline
4000000007181977A,313.5986472,Mainline
4000000007182425A,156.7744203,Mainline
4000000007182427A,45.14797833,Mainline
4000000007185193A,136.7255795,At grade SRN A Road
4000000007186052A,55.54317191,Mainline
4000000007186053A,122.4898948,Mainline
4000000007187994A,37.53432685,At grade SRN A Road
4000000007187997A,5.32532816,At grade SRN A Road
4000000007189864A,1125.209543,Mainline
4000000007189866A,835.0989227,Mainline
4000000007189966A,768.6173457,At grade SRN A Road
4000000007189981A,26.89878074,At grade SRN A Road
4000000007190306A,168.9559048,At grade SRN A Road
4000000007190307A,102.3476565,At grade SRN A Road
4000000007192944A,73.96132976,Mainline
4000000007192945A,550.8677402,Mainline
4000000007193493A,1391.626949,At grade SRN A Road
4000000007194368A,473.569884,At grade SRN A Road
4000000007198531A,51.16235649,Mainline
4000000007198532A,24.91718718,Traffic Island Link
4000000009205231A,2831.73379,Mainline
4000000009205232A,2840.291935,Mainline
4000000009205246A,2208.644047,Mainline
4000000009205279A,1656.55805,Mainline
4000000009205284A,1871.616447,Mainline
4000000009205289A,1435.776635,Mainline
4000000009205291A,1585.596227,Mainline
4000000009205294A,1886.132343,Mainline
4000000009205306A,1333.329856,Mainline
4000000009205308A,1561.933104,Mainline
4000000009205379A,1303.142483,Mainline
4000000009205381A,908.805521,Mainline
4000000009205382A,910.5908518,Mainline
4000000009205514A,1119.018204,Mainline
4000000009205515A,1113.26041,Mainline
4000000009205538A,1342.207102,Mainline
4000000009205556A,1534.217941,Mainline
4000000009205564A,1320.794919,Mainline
4000000009205602A,578.4872045,Mainline
4000000009205603A,1209.820268,Mainline
4000000009205619A,855.3963756,Mainline
4000000009205641A,2102.999526,Mainline
4000000009205672A,2583.076575,Mainline
4000000009205681A,1512.761098,Mainline
4000000009205801A,1710.820559,Mainline
4000000009205802A,1538.778585,Mainline
4000000009205814A,1114.72619,Mainline
4000000009205815A,1139.0277,Mainline
4000000009205857A,1383.78435,Mainline
4000000009205947A,1047.595793,Mainline
4000000009205953A,1741.207297,Mainline
4000000009205993A,1581.859758,Mainline
4000000009205995A,1577.150318,Mainline
4000000009207080A,376.7446409,Mainline
4000000009207095A,199.697846,At grade SRN A Road
4000000009207105A,70.4616042,At grade SRN A Road
4000000009207115A,93.55718548,At grade SRN A Road
4000000009208361A,328.4128016,Slip Road
4000000009208364A,244.216568,Mainline
